기업이름,고용형태,연봉,기업주소,키워드,담당업무,필요역량,인덱스,키워드추출
매버릭컨설팅,경력3~23년,-," 서울특별시 서초구 강남대로 309 2016호(서초동,코리아비지니스센타)",자율주행,"기계·금속·재료, 전자·반도체","[자율주행, Radar, Platform]",326,['자율주행']
쓰리핸즈,경력2~10년,-," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"소프트웨어·하드웨어, 응용프로그래머","[자율주행, 전자, 석사, 컴퓨터, ROS, 전기, 알고리즘, C, 운영체제, 경로 계획, 프로그래밍, 영어, 커뮤니케이션, 플랫폼, 제어, Embedded, 학사, Control, Linux, 시스템, 문서]",327,"['학사', '시스템', '알고리즘', '제어', 'ROS', '전기', '자율주행', '석사', '전자', 'Embedded', '영어', 'C', 'Linux']"
쓰리핸즈,경력3~6년,-," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"소프트웨어·하드웨어, 응용프로그래머","[adas, 자율주행, 클러스터링, 센서, 석사, camera, Geometry, Tracking, 통계, ROS, 자료구조, 데이터, 알고리즘, C, Camera, 프로그래밍, 확률, 수학, 플랫폼, 트리, AI, 시스템, ML, 박사]",328,"['시스템', 'AI', '알고리즘', 'ROS', '박사', '자율주행', '석사', 'adas', '데이터', 'C']"
쓰리핸즈,경력3~8년,-," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"소프트웨어·하드웨어, 응용프로그래머","[플랫폼, 자율주행, 프로젝트, 서비스, Control, IT, 커뮤니케이션]",329,"['프로젝트', '자율주행']"
코가로보틱스,신입/경력(연차무관),-," 서울특별시 성동구 왕십리로 222 516호(사근동,한양대학교 에이치아이티)",자율주행,"빅데이터·AI(인공지능), 소프트웨어·하드웨어",[자율주행],330,['자율주행']
조인스에이치알코리아,경력3년↑,-, 서울특별시 서초구 서운로 160,자율주행,연구원·연구개발,"[자율주행, DSP, 전파, 센서, 임베디드, 학사, Radar, 전자, 레이더, S/W, 전기, 시스템, RADAR, ADAS, 기능안전, 컴퓨터공학, 영어, 제어]",331,"['학사', '시스템', '제어', 'S/W', '전기', '자율주행', '전자', '영어', '컴퓨터공학', '임베디드', 'ADAS']"
조인스에이치알코리아,경력3년↑,-, 서울특별시 서초구 서운로 160,자율주행,"연구원·연구개발, 시스템프로그래머","[자율주행, SW, 센서, 전자, RADAR, ADAS, 기능안전, S/W, 전파, Radar, 전기, 신호처리, 알고리즘, C, AUTOSAR, 레이더, 영어, 컴퓨터공학, 제어, DSP, 학사, Firmware, 시스템, Python, 임베디드, Safety]",332,"['학사', '시스템', 'SW', '알고리즘', '제어', 'S/W', '전기', '자율주행', '전자', '영어', 'C', '컴퓨터공학', '임베디드', 'ADAS', 'Python']"
에바,신입/경력1~10년,-," 경기도 성남시 수정구 창업로 42 (시흥동,판교 제2테크노밸리 경기 기업성장센터) 919호",자율주행,"빅데이터·AI(인공지능), 전자·반도체, 응용프로그래머","[자율주행, Optimization, SW, ROS, 알고리즘]",333,"['자율주행', 'SW', '알고리즘', 'ROS']"
뷰런테크놀로지,신입/경력(연차무관),-," 서울특별시 서초구 강남대로 311 (서초동,한화생명보험빌딩)",자율주행,빅데이터·AI(인공지능),"[자율주행, C, IMU, 프로그래밍, LiDAR, SLAM, Mapping, 석사, 자료구조, camera, ADAS, 컴퓨터공학, 알고리즘, Localization]",334,"['알고리즘', '자율주행', '석사', 'C', '컴퓨터공학', 'ADAS']"
코가로보틱스,신입/경력(연차무관),-," 서울특별시 성동구 왕십리로 222 516호(사근동,한양대학교 에이치아이티)",자율주행,"빅데이터·AI(인공지능), 소프트웨어·하드웨어",[알고리즘],335,['알고리즘']
코가로보틱스,신입/경력(연차무관),-," 서울특별시 성동구 왕십리로 222 516호(사근동,한양대학교 에이치아이티)",자율주행,"빅데이터·AI(인공지능), 소프트웨어·하드웨어",[알고리즘],336,['알고리즘']
피플케어코리아,경력7년↑,-," 서울특별시 강남구 영동대로 511 (삼성동,트레이드타워) 27층, 33층",자율주행,"ERP·시스템분석·설계, 통신·모바일","[플랫폼, 자율주행, 모빌리티, 서비스, 시스템, 인프라]",337,"['시스템', '자율주행']"
피플케어코리아,경력5년↑,-," 서울특별시 강남구 영동대로 511 (삼성동,트레이드타워) 27층, 33층",자율주행,"ERP·시스템분석·설계, 통신·모바일","[플랫폼, 자율주행, 모빌리티, 프로젝트, 서비스]",338,"['프로젝트', '자율주행']"
체이시로보틱스,신입/경력(연차무관),-, 서울특별시 서초구 동산로19길 47 2층 (양재동),자율주행,빅데이터·AI(인공지능),[자율주행],339,['자율주행']
포티투닷 주식회사,경력(연차무관),-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"조사·분석·통계, 마케팅, 유통·상품기획·MD","[자율주행, 프로젝트, IT, ai, 서비스, 시스템, vehicle, 컴퓨터공학, 영어]",340,"['시스템', '프로젝트', '자율주행', 'ai', '영어', 'vehicle', '컴퓨터공학']"
매버릭컨설팅,경력15~30년,-," 서울특별시 서초구 강남대로 309 2016호(서초동,코리아비지니스센타)",자율주행,기술영업,"[ECU, 자율주행, SWITCH, ADAS]",341,"['자율주행', 'ADAS']"
에이알247,신입/경력(연차무관),-," 경기도 성남시 분당구 성남대로 69 (구미동,로드랜드EZ타워) 1층",자율주행,"품질관리, 생산·조립·가공·포장·검품",[자율주행],342,['자율주행']
에이알247,신입/경력(연차무관),-," 경기도 성남시 분당구 성남대로 69 (구미동,로드랜드EZ타워) 1층",자율주행,"품질관리, 생산·조립·가공·포장·검품",[자율주행],343,['자율주행']
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"빅데이터·AI(인공지능), 전자·반도체, 기계·금속·재료","[C, ai, 펌웨어, Controller, Control, Autonomous, 전자, 시스템, 전기, Vehicle, Architect, 제어]",344,"['시스템', '제어', '전기', 'Vehicle', '전자', 'ai', 'C']"
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"토목·조경·도시·측량, 바이오·식품공학, 빅데이터·AI(인공지능)","[자율주행, 센서, Object detection, 석사, Semantic segmentation, 통계, 신호처리, 알고리즘, C, 프로그래밍, 확률, 수학, 로보틱스, AI, Autonomous, 시스템, Python, 박사, 컴퓨터공학]",345,"['시스템', 'AI', '알고리즘', '로보틱스', '박사', '자율주행', '석사', 'C', '컴퓨터공학', 'Python']"
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,빅데이터·AI(인공지능),"[자율주행, C, Tracking, AI, 3D, python, 센서, 통계, 레이더, Linux, 시스템, 프로그래밍, ADAS, 박사, 확률, 알고리즘]",346,"['시스템', 'AI', '알고리즘', '박사', '3D', '자율주행', 'C', 'python', 'Linux', 'ADAS']"
피플스카우트,경력7년↑,-, 서울특별시 마포구 삼개로 16 근신빌딩 2신관 501호 (도화동),자율주행,"데이터베이스·DBA, 빅데이터·AI(인공지능), ERP·시스템분석·설계","[네트워크, 자율주행, 플랫폼, Python, 서비스, AI, 딥러닝, 프로그래밍, 데이터]",347,"['AI', '자율주행', '네트워크', '딥러닝', '데이터', 'Python']"
쓰리핸즈,경력3~5년,-," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"전산·IT기술지원, 전기·전자·통신기능","[플랫폼, 자율주행, Embedded, Battery, Camera, Switch, Controller, UL, 시스템, CE, 회로, ISO]",348,"['회로', '시스템', '자율주행', 'Embedded']"
잡뉴스솔로몬서치,경력(연차무관),-," 서울특별시 서초구 방배로 39 1층 104호 (방배동,미주빌딩)",자율주행,"기계·금속·재료, 연구원·연구개발","[자율주행, 시스템, 서비스, AI]",349,"['시스템', '자율주행', 'AI']"
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"빅데이터·AI(인공지능), 전자·반도체, ERP·시스템분석·설계","[자율주행, Issue management, AV system, ai, Camera, 센서, Radar, vehicle, Autonomous, 전자, 시스템, 전기, ADAS, Lidar, Verification, 데이터, Vehicle, 제어]",350,"['시스템', '제어', '전기', 'Vehicle', '자율주행', '전자', 'ai', '데이터', 'vehicle', 'ADAS']"
쓰리핸즈,경력3~6년,-," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"통신·모바일, 기술영업","[플랫폼, 자율주행, Platform, 영업, IT]",351,['자율주행']
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"빅데이터·AI(인공지능), 전자·반도체, ERP·시스템분석·설계","[자율주행, C, 프로젝트, AI, python, 인공지능, Autonomous, Deep Learning, 시스템, 딥러닝, 프로그래밍, ADAS, 박사, 임베디드, 석/박사]",352,"['시스템', 'AI', '박사', '인공지능', '프로젝트', '자율주행', '딥러닝', 'C', 'python', '임베디드', 'ADAS']"
엑사로보틱스,신입/경력(연차무관),-,"주5일근무, 연차, 보건휴가, 반차, 육아휴직, 남성출산휴가, 산전/후 휴가, 국민연금, 의...",자율주행,응용프로그래머,"[자율주행, SLAM, SW, 센서, Object detection, 전자, 석사, 전자회로, Image processing, Semantic segmentation, Navigation, ROS, 전기, 딥러닝, 제어부, 알고리즘, C, 센서부, 프로그래밍, 제어, SlAM, ROS2, 학사, Path Planning, 시스템, Python, 박사]",353,"['학사', '시스템', 'SW', '알고리즘', '제어', 'ROS', '박사', '전기', '자율주행', '석사', '전자', '딥러닝', 'C', 'Python']"
포티투닷 주식회사,경력3년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"빅데이터·AI(인공지능), ERP·시스템분석·설계","[자율주행, Python, safety, 석사, autonomous, vehicle, 컴퓨터, ROS, 전기, C, 제어, ROS2, AI, control, 학사, Control, Autonomous, 시스템, Robotics, 로봇공학]",354,"['학사', '시스템', 'AI', '제어', 'ROS', '전기', '자율주행', '석사', 'C', 'vehicle', 'Python']"
포티투닷 주식회사,경력3년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"빅데이터·AI(인공지능), 전자·반도체, ERP·시스템분석·설계","[자율주행, 센서, 전자, ADAS, vehicle, Verification, Radar, 전기, 데이터, Vehicle, ai, Camera, Lidar, 제어, Issue management, control, Autonomous, 시스템, AV system]",355,"['시스템', '제어', '전기', 'Vehicle', '자율주행', '전자', 'ai', '데이터', 'vehicle', 'ADAS']"
쓰리핸즈,경력5~10년,-," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"소프트웨어·하드웨어, 응용프로그래머","[자율주행, SLAM, 센서, Mapping, 석사, Geometry, Localization, 기계공학, Optimization, 3D, ROS, 알고리즘, C, 프로그래밍, Computer Vision, 플랫폼, 3D Reconstruction, Python, 박사, 컴퓨터공학]",356,"['알고리즘', 'ROS', '박사', '3D', '자율주행', '석사', 'Vision', 'C', '컴퓨터공학', 'Python']"
피너클써치,경력(연차무관),-, 서울특별시 강남구 강남대로100길 29 (역삼동),자율주행,"경영·기획·전략, 세무·회계, 재무·자금·IR","[자율주행, 시스템]",357,"['시스템', '자율주행']"
쓰리핸즈,경력2~8년,-," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"소프트웨어·하드웨어, 응용프로그래머","[플랫폼, 자율주행, C, Navigation, 센서, 센서퓨전, 리눅스, ROS, 시스템, Python, 프로그래밍, 알고리즘]",358,"['시스템', '알고리즘', 'ROS', '자율주행', '리눅스', 'C', 'Python']"
에바,신입/경력3년미만,"3,000~3,500"," 경기도 성남시 수정구 창업로 42 (시흥동,판교 제2테크노밸리 경기 기업성장센터) 919호",자율주행,"응용프로그래머, 빅데이터·AI(인공지능)","[C, 컴퓨터, SLAM, SW, ROS, Python, 영상처리]",359,"['SW', 'ROS', '영상처리', 'C', 'Python']"
쓰리핸즈,경력3~7년,-," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"소프트웨어·하드웨어, 게임(Game), 통신·모바일","[플랫폼, 자율주행, 서비스, QA, Platform, 소프트웨어공학, 컴퓨터공학, 소통]",360,"['자율주행', '컴퓨터공학']"
쓰리핸즈,경력8~13년,-," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"전산·IT기술지원, 전자·반도체","[플랫폼, 자율주행, Embedded, Firmware, Tool, 전기, RF, 회로]",361,"['Embedded', '자율주행', '회로', '전기']"
쓰리핸즈,경력2~6년,-," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,총무·법무·특허,"[네트워크, 자율주행, 플랫폼, 인프라, 영어, IT]",362,"['영어', '자율주행', '네트워크']"
 소셜써치코리아,경력5~10년,-, 서울특별시 강남구 테헤란로63길 16 강성빌딩 (삼성동),자율주행,"연구원·연구개발, 전자·반도체","[자율주행, Battery, 학사, 회로, 박사, 문서]",363,"['학사', '자율주행', '박사', '회로']"
한국교통안전공단,신입/경력(연차무관),-, 경북 김천시 혁신6로 17 12층(율곡동),자율주행,일반사무·사무지원,[],364,[]
코어디아이티 주식회사,경력3~15년,"3,500~7,500"," 서울특별시 금천구 가산디지털2로 166 (가산동,에이스 K1타워) 605호",자율주행,"웹프로그래머, 응용프로그래머, ERP·시스템분석·설계","[모빌리티, 시스템, 프로젝트, 알고리즘]",365,"['프로젝트', '시스템', '알고리즘']"
 퓨런티어,신입/경력(연차무관),-, 경기도 성남시 중원구 사기막골로 58 (상대원동) 퓨런티어,자율주행,광학·의료장비,"[네트워크, 플랫폼, C, SW, 펌웨어, Camera, 3D, Matlab, Tool, S/W, 전기, CE, Lidar, 영상처리, 제어]",366,"['SW', 'S/W', '제어', '3D', '전기', '영상처리', '네트워크', 'C']"
리뉴피플,경력3~15년,-, 서울특별시 강남구 봉은사로 317 3층 (논현동),자율주행,광학·의료장비,"[C, 컴퓨터, SW, 펌웨어, 센서, 학사, UL, Verification, 리눅스, 시스템, CE, 신호처리, 회로, 임베디드, 알고리즘, 제어]",367,"['학사', '시스템', 'SW', '알고리즘', '제어', '회로', '리눅스', 'C', '임베디드']"
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"전자·반도체, ERP·시스템분석·설계, 빅데이터·AI(인공지능)","[자율주행, AI, Autonomous, 시스템, ADAS, 기능안전]",368,"['시스템', '자율주행', 'AI', 'ADAS']"
피플케어코리아,경력3년↑,-," 서울특별시 강남구 영동대로 511 (삼성동,트레이드타워) 27층, 33층",자율주행,"ERP·시스템분석·설계, 통신·모바일, 연구원·연구개발","[자율주행, 인프라]",369,['자율주행']
피플케어코리아,경력3년↑,-," 서울특별시 강남구 영동대로 511 (삼성동,트레이드타워) 27층, 33층",자율주행,"ERP·시스템분석·설계, 연구원·연구개발, 빅데이터·AI(인공지능)","[자율주행, 시스템, 서비스]",370,"['시스템', '자율주행']"
포티투닷 주식회사,경력3년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"전산·IT기술지원, 웹프로그래머, 소프트웨어·하드웨어","[플랫폼, 자율주행, C, 프로젝트, platform, 서비스, ai, Platform, safety, S/W, 시스템, 프로그래밍, 커뮤니케이션, embedded, 제어]",371,"['시스템', 'embedded', '제어', 'S/W', '프로젝트', '자율주행', 'ai', 'C']"
텔레칩스,경력3~10년,-, 서울 송파구 올림픽로35다길 42 (신천동),자율주행,"네트워크·서버·보안, 빅데이터·AI(인공지능), ERP·시스템분석·설계","[자율주행, C, 컴퓨터, LiDAR, Embedded, Safety, Platform, Autonomous, 전자, Linux, ML, ADAS, S/W, 컴퓨터공학, 알고리즘]",372,"['알고리즘', 'S/W', '자율주행', '전자', 'Embedded', 'C', '컴퓨터공학', 'Linux', 'ADAS']"
에티포스,경력1~3년,-," 경기도 성남시 분당구 벌말로50번길 41 (야탑동,투아이센터) 4층 405호",자율주행,소프트웨어·하드웨어,"[C, 프로젝트, Embedded, SW, Linux, 프로그래밍, 영어]",373,"['SW', '프로젝트', 'Embedded', '영어', 'C', 'Linux']"
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"통신·모바일, 기술영업, ERP·시스템분석·설계, 네트워크·서버·보안","[플랫폼, 모빌리티, 서비스, ai, AI, QA, Platform, S/W, 데이터]",374,"['데이터', 'AI', 'ai', 'S/W']"
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"전산·IT기술지원, 전자·반도체, ERP·시스템분석·설계","[자율주행, ai, Autonomous, 시스템, 회로, Vehicle, 제어]",375,"['시스템', '제어', 'Vehicle', '자율주행', 'ai', '회로']"
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"통신·모바일, ERP·시스템분석·설계, 네트워크·서버·보안","[서비스, ai, 제어]",376,"['ai', '제어']"
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"통신·모바일, 전산·IT기술지원, ERP·시스템분석·설계","[프로그래밍, 서비스, ai, 제어]",377,"['ai', '제어']"
포티투닷 주식회사,경력8년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"웹프로그래머, 빅데이터·AI(인공지능)","[플랫폼, 모빌리티, 서비스, ai, Vehicle]",378,"['Vehicle', 'ai']"
온리원파트너스,경력10년↑,-," 서울특별시 성동구 아차산로17길 57 12층, 1201호(성수동2가,일신건영휴먼테코)",자율주행,세무·회계,[],379,[]
온리원파트너스,경력5년↑,-," 서울특별시 성동구 아차산로17길 57 12층, 1201호(성수동2가,일신건영휴먼테코)",자율주행,"재무·자금·IR, 세무·회계",[],380,[]
온리원파트너스,경력5년↑,-," 서울특별시 성동구 아차산로17길 57 12층, 1201호(성수동2가,일신건영휴먼테코)",자율주행,"재무·자금·IR, 세무·회계",[],381,[]
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"웹프로그래머, 기술영업","[플랫폼, 모빌리티, 서비스, ai, AI, QA, S/W, 데이터]",382,"['데이터', 'AI', 'ai', 'S/W']"
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"데이터베이스·DBA, 빅데이터·AI(인공지능), 응용프로그래머","[자율주행, ai, 센서, 시스템, Python, 프로그래밍, 데이터]",383,"['시스템', '자율주행', 'ai', '데이터', 'Python']"
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"빅데이터·AI(인공지능), 전자·반도체, ERP·시스템분석·설계","[자율주행, path planning, safety, radar, camera, autonomous, vehicle, computer vision, localization, embedded, C, LIDAR, robotics, IMU, AI, control, geometry, Linux, Python, optimization]",384,"['AI', 'embedded', '자율주행', 'vision', 'C', 'vehicle', 'Linux', 'Python']"
현대엠시스템즈,신입/경력(연차무관),-," 경기 수원시 영통구 신원로 88  102동 805호 806호 (신동,디지털엠파이어2)",자율주행,소프트웨어·하드웨어,"[자율주행, S/W, 임베디드, 센서퓨전]",385,"['자율주행', '임베디드', 'S/W']"
주식회사 에이치엘클레무브,신입/경력(연차무관),-," 경기도 성남시 수정구 금토로80번길 21 (Next-M, 에이치엘클레무브 판교)",자율주행,"연구원·연구개발, 빅데이터·AI(인공지능), 기계·금속·재료",[],386,[]
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"빅데이터·AI(인공지능), 조사·분석·통계, 경영·기획·전략","[자율주행, 데이터, ai]",387,"['데이터', '자율주행', 'ai']"
포티투닷 주식회사,경력8년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"소프트웨어·하드웨어, 전산·IT기술지원, ERP·시스템분석·설계","[자율주행, C, ECU, ai, 센서, Switch, tool, 하드웨어, ADAS, 제어]",388,"['제어', '자율주행', 'ai', 'C', 'ADAS']"
(재)차세대융합기술연구원,신입/경력(연차무관),-, 경기도 수원시 영통구 광교로 145 (이의동),자율주행,"전자·반도체, 연구원·연구개발, 기계·금속·재료, 시설·환경·안전·플랜트, 바이오·식품공학","[Computer Vision, 자율주행, AI, 학사, ROS, ML, 회로, 프로그래밍, 알고리즘]",389,"['학사', 'AI', '알고리즘', 'ROS', '자율주행', 'Vision', '회로']"
티라로보틱스,경력9~16년,-," 경기도 성남시 중원구 둔촌대로 388 304호(상대원동,크란츠 테크노)",자율주행,"세무·회계, 재무·자금·IR","[자율주행, Autonomous, 전자]",390,"['자율주행', '전자']"
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"웹디자인, HTML·퍼블리싱·UI개발, 웹기획·웹마케팅·PM, 유통·상품기획·MD","[모빌리티, 자율주행, 프로젝트, 서비스, AI, ai, QA, 시스템, 데이터, 커뮤니케이션]",391,"['시스템', 'AI', '프로젝트', '자율주행', 'ai', '데이터']"
주식회사 보스반도체,신입/경력3년↑,-,"국민연금, 의료보험, 산재보험, 고용보험, 식대지원, 간식제공, •	On-site 외국어...",자율주행,시스템프로그래머,"[자율주행, ECU, SW, Autonomous, AUTOSAR, Linux, S/W, 시스템, 박사, 임베디드]",392,"['시스템', 'SW', 'S/W', '박사', '임베디드', '자율주행', 'Linux']"
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,경영·기획·전략,"[플랫폼, 자율주행, 모빌리티, 서비스, ai, Platform, 시스템, 데이터, 영어, Vehicle, Architect]",393,"['시스템', '영어', 'Vehicle', '자율주행', 'ai', '데이터']"
탑커리어인사이트,경력3년↑,-, 서울특별시 강남구 역삼로17길 9 (역삼동) 배영빌딩 202호,자율주행,광학·의료장비,"[학사, 시스템]",394,"['학사', '시스템']"
탑커리어인사이트,경력3년↑,-, 서울특별시 강남구 역삼로17길 9 (역삼동) 배영빌딩 202호,자율주행,"전자·반도체, 소프트웨어·하드웨어","[컴퓨터, Verification, 학사]",395,['학사']
탑커리어인사이트,경력7~15년,-, 서울특별시 강남구 역삼로17길 9 (역삼동) 배영빌딩 202호,자율주행,시스템프로그래머,"[C, 컴퓨터, 펌웨어, 학사, 리눅스, 신호처리, 임베디드, 알고리즘, 제어]",396,"['학사', '알고리즘', '제어', '리눅스', 'C', '임베디드']"
비에이블컨설팅그룹,경력3~7년,-," 서울특별시 금천구 가산디지털2로 165 1501호 (가산동,백상스타타워2차)",자율주행,"전산·IT기술지원, 네트워크·서버·보안","[자율주행, IT]",397,['자율주행']
포티투닷 주식회사,경력13년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"인사·채용·인재개발(HRM·HRD), 총무·법무·특허, 재무·자금·IR","[모빌리티, 자율주행, 프로젝트, platform, ai, safety, 하드웨어, autonomous, vehicle, IT]",398,"['프로젝트', '자율주행', 'vehicle', 'ai']"
에이치알컨설팅그룹,경력5년↑,-," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"응용프로그래머, 전산·IT기술지원","[C, 3D, 학사, Linux, ADAS, Vehicle]",399,"['학사', 'C', 'Vehicle', '3D', 'Linux', 'ADAS']"
에이치알컨설팅그룹,경력10년↑,-," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"응용프로그래머, 웹기획·웹마케팅·PM","[C, 학사, 리눅스, Linux, ADAS, 임베디드, Vehicle]",400,"['학사', 'Vehicle', 'Linux', '리눅스', 'C', '임베디드', 'ADAS']"
에이치알컨설팅그룹,경력3~14년,-," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"소프트웨어·하드웨어, 전자·반도체","[Battery, 학사, 시스템, 회로, ADAS, Vehicle, 제어]",401,"['학사', '시스템', '제어', 'Vehicle', '회로', 'ADAS']"
씨드로닉스,경력3년↑,-, 서울특별시 강남구 테헤란로20길 20 삼정빌딩 3층 씨드로닉스 (역삼동),자율주행,기계·금속·재료,"[자율주행, 로보틱스, SW, 센서, 인공지능, 시스템, 영상처리]",402,"['시스템', 'SW', '로보틱스', '인공지능', '영상처리', '자율주행']"
에이치알컨설팅그룹,경력5년↑,-," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"응용프로그래머, 소프트웨어·하드웨어","[SW, 학사, 리눅스, Linux, ADAS, 임베디드, Vehicle]",403,"['학사', 'SW', 'Vehicle', 'Linux', '리눅스', '임베디드', 'ADAS']"
사피온코리아,경력5년↑,-,"경기도 성남시 분당구 판교로 253 (삼평동,판교 이노밸리) A동",자율주행,"응용프로그래머, 웹프로그래머","[자율주행, SW, ADAS, Verification, 컴퓨터, Deep learning, linux, 데이터, C, 인공지능, AUTOSAR, 제어, Embedded, AI, 학사, Firmware, Linux, Python, 임베디드, Safety, 문서]",404,"['linux', '학사', 'AI', 'SW', '제어', '임베디드', '인공지능', '자율주행', 'Embedded', '데이터', 'C', 'Linux', 'ADAS', 'Python']"
포티투닷 주식회사,경력3년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"ERP·시스템분석·설계, 네트워크·서버·보안","[플랫폼, 모빌리티, 서비스, ai, 시스템]",405,"['시스템', 'ai']"
에이치알컨설팅그룹,경력3년↑,-," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"전자·반도체, 응용프로그래머, 시스템프로그래머","[C, 학사, Linux, ADAS, Vehicle]",406,"['학사', 'Vehicle', 'C', 'Linux', 'ADAS']"
에이치알컨설팅그룹,경력5년↑,-," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"응용프로그래머, 통신·모바일","[C, 학사, Linux, ADAS, Vehicle]",407,"['학사', 'Vehicle', 'C', 'Linux', 'ADAS']"
주식회사 웨이브엠,신입/경력(연차무관),-," 경기도 의왕시 철도박물관로 176 (월암동,한국철도기술연구원) 2동 113-2호 ㈜웨이브엠",자율주행,"웹프로그래머, 데이터베이스·DBA",[],408,[]
에이치알컨설팅그룹,경력5년↑,-," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,"응용프로그래머, 통신·모바일","[플랫폼, C, SW, 학사, 리눅스, Linux, ADAS, 임베디드, Vehicle]",409,"['학사', 'SW', 'Vehicle', 'Linux', '리눅스', 'C', '임베디드', 'ADAS']"
에이치알컨설팅그룹,경력3년↑,-," 서울특별시 금천구 디지털로 130 1403호 (가산동,남성프라자)",자율주행,재무·자금·IR,"[ADAS, 학사, Vehicle]",410,"['학사', 'Vehicle', 'ADAS']"
포티투닷 주식회사,경력3년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"웹프로그래머, 웹기획·웹마케팅·PM","[플랫폼, 모빌리티, 서비스, ai, 시스템]",411,"['시스템', 'ai']"
