기업이름,고용형태,연봉,기업주소,키워드,담당업무,인덱스,필요역량
에이아이네이션,경력3년,회사내규에 따름,서울 서초구 매헌로 16,딥러닝,"  생산,기획·전략,IT개발·데이터,영업·판매·무역",223,['인공지능']
㈜앤에이치씨,신입/경력,회사내규에 따름,인천 연수구 송도과학로 56,딥러닝,"  프론트엔드개발자,소프트웨어개발자,머신러닝엔지니어",224,['엔지니어']
하이퍼놀로지,경력무관,회사내규에 따름,경기 수원시 장안구 서부로 2066,딥러닝,"  IT개발·데이터,연구·R&D",225,['AI']
하이퍼놀로지,경력무관,회사내규에 따름,경기 수원시 장안구 서부로 2066,딥러닝,"  IT개발·데이터,연구·R&D",226,[]
주식회사 넥스버,신입/경력1년,회사내규에 따름,경기 안양시 동안구 시민대로 230,딥러닝,"  IT개발·데이터,연구·R&D",227,['C']
캔탑스,경력2년,"연봉 3,000 만원 ~ 6,000 만원",경기도 수원시 영통구 덕영대로1556번길 16,딥러닝,"  1. 임베디드 시스템 소프트웨어 개발 (주요 업무) ㆍ센서(카메라, 라이다 外) 인터페이스 드라이버 개발 ㆍ디지털 신호 처리 알고리즘...",228,"['시스템', '임베디드']"
캔탑스,경력2년,"연봉 3,000 만원 ~ 6,000 만원",경기도 수원시 영통구 덕영대로1556번길 16,딥러닝,"  임베디드 시스템 소프트웨어 개발 (주요 업무) ㆍ센서(카메라, 라이다 外) 인터페이스 드라이버 개발 ㆍ디지털 신호 처리 알고리즘 개...",229,"['시스템', '임베디드']"
㈜에프엠커뮤니케이션즈,신입/경력,회사내규에 따름,서울 서초구 반포대로22길 34,딥러닝,"  마케팅기획,AE(광고기획자),온라인마케터,콘텐츠마케터,백엔드개발자,머신러닝엔지니어,홍보,CRM마케터,채널관리자",230,[]
주식회사 아이티테크,경력5년,월급 350 만원 ~ 500 만원,경기도 안양시 동안구 시민대로327번길 11-41,딥러닝,  1. 근무위치  경기도 안양시 평촌역 인근 도보 10분 내외 안양시 창업지원 센터내 2. 모집인원 SW  2명 3.  ㆍAI deep le...,231,"['SW', '임베디드']"
주식회사 넥스버,경력무관,회사내규에 따름,경기 안양시 동안구 시민대로 230,딥러닝,"  IT개발·데이터,연구·R&D",232,"['C', 'SW', '임베디드']"
바이오뉴트리온,경력2년,회사내규에 따름,서울 강남구,딥러닝,"  IT개발·데이터,연구·R&D",233,['AI']
보은전자방송통신㈜,경력1년,"연봉 4,500 만원 ~ 4,500 만원",서울 강서구 양천로57길 26,딥러닝,"  IT개발·데이터,연구·R&D",234,"['C', 'S/W']"
보은전자방송통신㈜,신입,"연봉 3,700 만원 ~ 3,700 만원",서울 강서구 양천로57길 26,딥러닝,"  IT개발·데이터,연구·R&D",235,"['C', 'S/W']"
에이아이테크,경력무관,"연봉 8,000 만원 ~ 8,000 만원",경기 평택시 산단로16번길 12,딥러닝,  IT개발·데이터,236,[]
델타엑스,경력무관,회사내규에 따름,서울 중구 남대문로9길 24,딥러닝,"  생산,IT개발·데이터",237,"['시스템', '엔지니어', '임베디드']"
비상교육,신입,회사내규에 따름,서울 구로구 디지털로33길 48,딥러닝,  - ERP( WinForm )개발 및 .net MVC( C# )개발- 각종 교육 및 학습 데이터 분석(EDA) 및 서비스 지능화 검증- 정형/비정형 데...,238,[]
고큐바테크놀로지,경력3년,회사내규에 따름,서울특별시 중구 한강대로 416,딥러닝,  - 비전센싱 AI 연구원- 자사 서비스 개발 구현 및 업데이트- 데이터 처리 및 분석- 비전센싱 데이터 처리 연구 및 개발- 딥러닝 알고...,239,"['인공지능', 'AI']"
국방과학연구소,경력무관,회사내규에 따름,서울특별시 동대문구 회기로 37,딥러닝,"  사무담당자,인사담당자,회계담당자,재무담당자,감사,앱개발자,시스템엔지니어,네트워크엔지니어,소프트웨어개발자,머신러닝엔지니어,주...",240,[]
㈜제이엘케이,경력무관,회사내규에 따름,서울 강남구 테헤란로33길 5,딥러닝,"  앱개발자,데이터엔지니어,머신러닝엔지니어",241,"['인공지능', 'AI']"
한국과학기술원,-,월급 239 만원 ~ 239 만원,"서울특별시 동대문구 회기로 85, KAIST 서울캠퍼스",딥러닝,-,242,[]
티젠소프트인크루트,신입/경력,회사내규에 따름,서울특별시 금천구 가산디지털1로 204,딥러닝,"  스마트폰 어플리케이션,JSP,JAVA 모바일 , JAVA, JSP 개발",243,['웹']
티젠소프트인크루트,신입/경력,회사내규에 따름,서울특별시 금천구 가산디지털1로 204,딥러닝,"  JAVA,JSP JAVA/JSP 프로그램 개발",244,"['딥러닝', '머신러닝']"
티젠소프트인크루트,신입/경력,회사내규에 따름,서울특별시 금천구 가산디지털1로 204,딥러닝,  솔루션·컨텐츠 SW 솔루션 영업,245,"['딥러닝', '머신러닝']"
주식회사에스에이티벤처 코스닥 중견워크넷인증,경력2년,"연봉 3,000 만원 이상",경기도 군포시 엘에스로 175,딥러닝,  지원자격 ㆍ경력  경력 2년 이상 ㆍ학력  초대졸 이상 ㆍ급여  3천만원(대졸 초임 기준) 이상 / 협의 가능 ㆍ머신러닝 - 객체 검출...,246,[]
㈜로보티즈벤처 강소잡코리아,신입/경력,회사내규에 따름,서울특별시 강서구 마곡중앙5로1길 37,딥러닝,"  소프트웨어개발자,머신러닝엔지니어",247,[]
㈜비상교육코스피 가족잡코리아,경력,회사내규에 따름,서울 구로구 구로동 170-10번지,딥러닝,"  웹기획,콘텐츠마케터,백엔드개발자,프론트엔드개발자,웹개발자,앱개발자,시스템엔지니어,DBA,데이터엔지니어,데이터사이언티스트,머신...",248,[]
㈜앤씨앤벤처 코스닥 강소잡코리아,신입/경력,회사내규에 따름,경기 성남시 분당구 판교로 323,딥러닝,"  앱개발자,머신러닝엔지니어,제품영업,기계엔지니어,반도체엔지니어,보안엔지니어,데이터사이언티스트,데이터엔지니어,네트워크엔지니어...",249,"['딥러닝', '머신러닝', '경력자']"
이노레이㈜잡코리아,경력,"연봉 3,300 만원 ~ 3,300 만원",서울 서초구,딥러닝,"  데이터엔지니어,머신러닝엔지니어,R&D·연구원",250,['딥러닝']
코드랩이앤티사람인,경력2년,회사내규에 따름,서울 금천구 가산동 459-14,딥러닝,  IT개발·데이터,251,[]
한국생산기술연구원공공 가족사람인,신입,회사내규에 따름,경기 안산시 상록구,딥러닝,  IT개발·데이터,252,[]
엔셀주식회사벤처 강소워크넷인증,신입,"연봉 3,400 만원 ~ 3,600 만원",경기도 성남시 분당구 성남대로 393,딥러닝,  주요업무 - 인공지능 알고리즘 개발 및 연구 - 인공지능 서비스 솔루션 개발 - Vision/Time Series 데이터 처리 및 분석 자격요건 ...,253,"['엔지니어', 'AI']"
㈜스피랩잡코리아,경력,"연봉 4,500 만원 ~ 4,500 만원",경기 용인시 기흥구 동백죽전대로 44,딥러닝,"  시스템엔지니어,하드웨어개발자,머신러닝엔지니어,기계엔지니어,클라우드엔지니어",254,['AI']
프로써치코리아인크루트,경력3년,회사내규에 따름,서울특별시 강남구 테헤란로 333,딥러닝,  -선량계산 수식기반 Analytic 알고리즘 개발-CT를 이용한 의료영상 전문 영역의 데이터 활용 딥러닝 연구,255,[]
골프존지디알아카데미 주식회사잡코리아,경력3년,회사내규에 따름,서울 강남구 도산대로 544,딥러닝,  머신러닝엔지니어,256,"['인공지능', 'AI']"
델토이드인크루트,신입,"연봉 3,000 만원 ~ 3,500 만원",서울특별시 구로구 신도림로13길 51,딥러닝,  JAVA ㆍ메타버스 웹 또는 보행검사용 웹/앱 프런트 개발ㆍIMU 센서를 활용한 보행검사용 앱 데이터 딥러닝 연구(파이썬) ㆍJAVAㆍN...,257,"['시스템', '임베디드', 'AI']"
투아이시스㈜벤처 강소잡코리아,신입/경력,회사내규에 따름,경기 안양시 만안구 덕천로 16,딥러닝,"  백엔드개발자,프론트엔드개발자,머신러닝엔지니어",258,[]
주식회사나래트랜드강소워크넷인증,경력1년,"연봉 3,500 만원 ~ 4,000 만원",경기도 부천시 부흥로303번길 36,딥러닝,"  ★S/W 개발자(데이터엔지니어) 1.지원자격 ㆍ경력  경력 1년이상(주임연구원, 선임연구원, 연구원급) ㆍGIT 사용 경험자 ㆍjavascr...",259,[]
아이메디신캐치,경력무관,회사내규에 따름,서울특별시 강남구 테헤란로 411,딥러닝,"  빅데이터/AI, DBA/데이터베이스",260,['웹']
하드콘 주식회사워크넷인증,경력무관,"연봉 2,800 만원 ~ 4,000 만원",서울특별시 금천구 가산디지털1로 131,딥러닝,"  하드콘(주) 은 공장 자동화 제어 시스템, AI/딥러닝 머신비전 솔루션 을 개발하여 다양한 산업 현장에 공급하고 있습니다. 회사 구성...",261,[]
대웅기연인크루트,경력1년,회사내규에 따름,경기 부천시 산업로 9,딥러닝,  분석·설계 ERP 구축관련,262,['S/W']
라온피플벤처 강소캐치,경력무관,회사내규에 따름,경기도 성남시 분당구 판교로 723,딥러닝,  빅데이터/AI,263,"['딥러닝', '머신러닝']"
디세이코리아,경력무관,"연봉 2,700 만원 ~ 5,000 만원",경기도 용인시 수지구 광교중앙로 338,딥러닝,  [채용 희망인원] 1. MES개발 또는 ESS개발 또는 TC 개발자 2. 머신러닝 개발자 3. C# 개발자 4. JAVA 개발자 5. DevExpre...,264,"['C', '영상처리']"
에이알247,경력(연차무관),"6,000~7,000"," 경기도 성남시 분당구 성남대로 69 (구미동,로드랜드EZ타워) 1층",자율주행,"빅데이터·AI(인공지능), 응용프로그래머, 소프트웨어·하드웨어",265,"['석사', '자율주행', 'C', 'SW', '시스템', 'Object', '박사', '인공지능', '알고리즘', 'ROS']"
쓰리핸즈,경력1~5년,-," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"소프트웨어·하드웨어, 게임(Game), 응용프로그래머",266,"['컴퓨터공학', '자율주행', 'Linux', 'SW', '시스템', 'Python', '알고리즘', 'ROS']"
매버릭컨설팅,경력8~22년,-," 서울특별시 서초구 강남대로 309 2016호(서초동,코리아비지니스센타)",자율주행,경영·기획·전략,267,"['ADAS', '자율주행']"
현대자동차,경력(연차무관),-, 서울특별시 서초구 헌릉로 12 (양재동),자율주행,"빅데이터·AI(인공지능), 품질관리, 기계·금속·재료",268,"['학사', '컴퓨터공학', '자율주행', '네트워크', '영어', '제어', 'C', 'SW', '딥러닝', '시스템', '프로젝트', '영상처리', '임베디드', 'Python', '알고리즘']"
현대자동차,경력(연차무관),-, 서울특별시 서초구 헌릉로 12 (양재동),자율주행,"빅데이터·AI(인공지능), ERP·시스템분석·설계",269,"['학사', '컴퓨터공학', '자율주행', '네트워크', '영어', '제어', 'C', 'SW', '딥러닝', '시스템', '프로젝트', '영상처리', 'Python', '임베디드']"
에이알247,신입/경력(연차무관),"5,000~10,000"," 경기도 성남시 분당구 성남대로 69 (구미동,로드랜드EZ타워) 1층",자율주행,"소프트웨어·하드웨어, 응용프로그래머",270,"['시스템', '자율주행', 'SW']"
에이알247,경력(연차무관),-," 경기도 성남시 분당구 성남대로 69 (구미동,로드랜드EZ타워) 1층",자율주행,"빅데이터·AI(인공지능), 응용프로그래머, 소프트웨어·하드웨어",271,"['자율주행', 'C', 'SW', 'Object', 'ai']"
쓰리핸즈,경력1~6년,-," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"소프트웨어·하드웨어, 게임(Game), 응용프로그래머",272,"['자율주행', 'SW', '데이터', '시스템', 'Python']"
현대자동차,경력7년↑,-, 서울특별시 서초구 헌릉로 12 (양재동),자율주행,"빅데이터·AI(인공지능), 소프트웨어·하드웨어, 전산·IT기술지원",273,"['컴퓨터공학', '제어', 'C', '데이터', 'SW', 'Vision', '네트워크', 'Computer', 'Embedded', '시스템', '학사', '자율주행', '영어', '영상처리', '임베디드', '알고리즘', '딥러닝', '프로젝트', 'Python']"
매버릭컨설팅,경력3~23년,-," 서울특별시 서초구 강남대로 309 2016호(서초동,코리아비지니스센타)",자율주행,"기계·금속·재료, 전자·반도체",274,['자율주행']
쓰리핸즈,경력2~10년,-," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"소프트웨어·하드웨어, 응용프로그래머",275,"['석사', '학사', '자율주행', 'Embedded', '영어', 'Linux', '제어', 'C', '시스템', '알고리즘', 'ROS']"
쓰리핸즈,경력3~6년,-," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"소프트웨어·하드웨어, 응용프로그래머",276,"['석사', '자율주행', 'C', 'adas', '데이터', '시스템', '박사', 'AI', '알고리즘', 'ROS']"
쓰리핸즈,경력3~8년,-," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"소프트웨어·하드웨어, 응용프로그래머",277,"['프로젝트', '자율주행']"
코가로보틱스,신입/경력(연차무관),-," 서울특별시 성동구 왕십리로 222 516호(사근동,한양대학교 에이치아이티)",자율주행,"빅데이터·AI(인공지능), 소프트웨어·하드웨어",278,['자율주행']
조인스에이치알코리아,경력3년↑,-, 서울특별시 서초구 서운로 160,자율주행,연구원·연구개발,279,"['학사', '컴퓨터공학', '자율주행', '영어', '제어', 'S/W', '시스템', 'ADAS', '임베디드']"
조인스에이치알코리아,경력3년↑,-, 서울특별시 서초구 서운로 160,자율주행,"연구원·연구개발, 시스템프로그래머",280,"['학사', '컴퓨터공학', '자율주행', '영어', '제어', 'C', 'SW', 'S/W', '시스템', 'ADAS', '임베디드', 'Python', '알고리즘']"
에바,신입/경력1~10년,-," 경기도 성남시 수정구 창업로 42 (시흥동,판교 제2테크노밸리 경기 기업성장센터) 919호",자율주행,"빅데이터·AI(인공지능), 전자·반도체, 응용프로그래머",281,"['자율주행', 'SW', '알고리즘', 'ROS']"
뷰런테크놀로지,신입/경력(연차무관),-," 서울특별시 서초구 강남대로 311 (서초동,한화생명보험빌딩)",자율주행,빅데이터·AI(인공지능),282,"['석사', '컴퓨터공학', '자율주행', 'C', 'ADAS', '알고리즘']"
코가로보틱스,신입/경력(연차무관),-," 서울특별시 성동구 왕십리로 222 516호(사근동,한양대학교 에이치아이티)",자율주행,"빅데이터·AI(인공지능), 소프트웨어·하드웨어",283,['알고리즘']
코가로보틱스,신입/경력(연차무관),-," 서울특별시 성동구 왕십리로 222 516호(사근동,한양대학교 에이치아이티)",자율주행,"빅데이터·AI(인공지능), 소프트웨어·하드웨어",284,['알고리즘']
피플케어코리아,경력7년↑,-," 서울특별시 강남구 영동대로 511 (삼성동,트레이드타워) 27층, 33층",자율주행,"ERP·시스템분석·설계, 통신·모바일",285,"['시스템', '자율주행']"
피플케어코리아,경력5년↑,-," 서울특별시 강남구 영동대로 511 (삼성동,트레이드타워) 27층, 33층",자율주행,"ERP·시스템분석·설계, 통신·모바일",286,"['프로젝트', '자율주행']"
체이시로보틱스,신입/경력(연차무관),-, 서울특별시 서초구 동산로19길 47 2층 (양재동),자율주행,빅데이터·AI(인공지능),287,['자율주행']
포티투닷 주식회사,경력(연차무관),-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"조사·분석·통계, 마케팅, 유통·상품기획·MD",288,"['컴퓨터공학', '자율주행', '영어', '시스템', '프로젝트', 'ai']"
매버릭컨설팅,경력15~30년,-," 서울특별시 서초구 강남대로 309 2016호(서초동,코리아비지니스센타)",자율주행,기술영업,289,"['ADAS', '자율주행']"
에이알247,신입/경력(연차무관),-," 경기도 성남시 분당구 성남대로 69 (구미동,로드랜드EZ타워) 1층",자율주행,"품질관리, 생산·조립·가공·포장·검품",290,['자율주행']
에이알247,신입/경력(연차무관),-," 경기도 성남시 분당구 성남대로 69 (구미동,로드랜드EZ타워) 1층",자율주행,"품질관리, 생산·조립·가공·포장·검품",291,['자율주행']
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"빅데이터·AI(인공지능), 전자·반도체, 기계·금속·재료",292,"['제어', '시스템', 'ai', 'C']"
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"토목·조경·도시·측량, 바이오·식품공학, 빅데이터·AI(인공지능)",293,"['석사', '컴퓨터공학', '자율주행', 'C', '시스템', 'Object', '박사', 'AI', 'Python', '알고리즘']"
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,빅데이터·AI(인공지능),294,"['자율주행', 'Linux', 'C', '3D', '시스템', 'ADAS', '박사', 'AI', 'python', '알고리즘']"
피플스카우트,경력7년↑,-, 서울특별시 마포구 삼개로 16 근신빌딩 2신관 501호 (도화동),자율주행,"데이터베이스·DBA, 빅데이터·AI(인공지능), ERP·시스템분석·설계",295,"['자율주행', '네트워크', '데이터', '딥러닝', 'AI', 'Python']"
쓰리핸즈,경력3~5년,-," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"전산·IT기술지원, 전기·전자·통신기능",296,"['회로', '시스템', '자율주행', 'Embedded']"
잡뉴스솔로몬서치,경력(연차무관),-," 서울특별시 서초구 방배로 39 1층 104호 (방배동,미주빌딩)",자율주행,"기계·금속·재료, 연구원·연구개발",297,"['시스템', '자율주행', 'AI']"
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"빅데이터·AI(인공지능), 전자·반도체, ERP·시스템분석·설계",298,"['자율주행', '제어', '데이터', '시스템', 'ADAS', 'ai']"
쓰리핸즈,경력3~6년,-," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"통신·모바일, 기술영업",299,['자율주행']
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"빅데이터·AI(인공지능), 전자·반도체, ERP·시스템분석·설계",300,"['자율주행', 'C', '딥러닝', '시스템', '프로젝트', 'ADAS', '박사', 'AI', 'python', '인공지능', '임베디드']"
엑사로보틱스,신입/경력(연차무관),-,"주5일근무, 연차, 보건휴가, 반차, 육아휴직, 남성출산휴가, 산전/후 휴가, 국민연금, 의...",자율주행,응용프로그래머,301,"['석사', '학사', '자율주행', '제어', 'C', 'SW', '딥러닝', '시스템', 'Object', '박사', 'Python', '알고리즘', 'ROS']"
포티투닷 주식회사,경력3년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"빅데이터·AI(인공지능), ERP·시스템분석·설계",302,"['석사', '학사', '자율주행', '제어', 'C', '시스템', 'AI', 'Python', 'ROS']"
포티투닷 주식회사,경력3년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"빅데이터·AI(인공지능), 전자·반도체, ERP·시스템분석·설계",303,"['자율주행', '제어', '데이터', '시스템', 'ADAS', 'ai']"
쓰리핸즈,경력5~10년,-," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"소프트웨어·하드웨어, 응용프로그래머",304,"['석사', '컴퓨터공학', '자율주행', 'Computer', 'C', '3D', 'Vision', '박사', 'Python', '알고리즘', 'ROS']"
피너클써치,경력(연차무관),-, 서울특별시 강남구 강남대로100길 29 (역삼동),자율주행,"경영·기획·전략, 세무·회계, 재무·자금·IR",305,"['시스템', '자율주행']"
쓰리핸즈,경력2~8년,-," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"소프트웨어·하드웨어, 응용프로그래머",306,"['자율주행', 'C', '시스템', 'Python', '알고리즘', 'ROS']"
에바,신입/경력3년미만,"3,000~3,500"," 경기도 성남시 수정구 창업로 42 (시흥동,판교 제2테크노밸리 경기 기업성장센터) 919호",자율주행,"응용프로그래머, 빅데이터·AI(인공지능)",307,"['C', 'SW', '영상처리', 'Python', 'ROS']"
쓰리핸즈,경력3~7년,-," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"소프트웨어·하드웨어, 게임(Game), 통신·모바일",308,"['컴퓨터공학', '자율주행']"
쓰리핸즈,경력8~13년,-," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"전산·IT기술지원, 전자·반도체",309,"['회로', '자율주행', 'Embedded']"
쓰리핸즈,경력2~6년,-," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,총무·법무·특허,310,"['자율주행', '영어', '네트워크']"
 소셜써치코리아,경력5~10년,-, 서울특별시 강남구 테헤란로63길 16 강성빌딩 (삼성동),자율주행,"연구원·연구개발, 전자·반도체",311,"['학사', '회로', '자율주행', '박사']"
한국교통안전공단,신입/경력(연차무관),-, 경북 김천시 혁신6로 17 12층(율곡동),자율주행,일반사무·사무지원,312,[]
코어디아이티 주식회사,경력3~15년,"3,500~7,500"," 서울특별시 금천구 가산디지털2로 166 (가산동,에이스 K1타워) 605호",자율주행,"웹프로그래머, 응용프로그래머, ERP·시스템분석·설계",313,"['시스템', '프로젝트', '알고리즘']"
 퓨런티어,신입/경력(연차무관),-, 경기도 성남시 중원구 사기막골로 58 (상대원동) 퓨런티어,자율주행,광학·의료장비,314,"['네트워크', '제어', 'C', '3D', 'SW', 'S/W', '영상처리']"
리뉴피플,경력3~15년,-, 서울특별시 강남구 봉은사로 317 3층 (논현동),자율주행,광학·의료장비,315,"['학사', '회로', '제어', 'C', 'SW', '시스템', '임베디드', '알고리즘']"
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"전자·반도체, ERP·시스템분석·설계, 빅데이터·AI(인공지능)",316,"['시스템', '자율주행', 'AI', 'ADAS']"
피플케어코리아,경력3년↑,-," 서울특별시 강남구 영동대로 511 (삼성동,트레이드타워) 27층, 33층",자율주행,"ERP·시스템분석·설계, 통신·모바일, 연구원·연구개발",317,['자율주행']
피플케어코리아,경력3년↑,-," 서울특별시 강남구 영동대로 511 (삼성동,트레이드타워) 27층, 33층",자율주행,"ERP·시스템분석·설계, 연구원·연구개발, 빅데이터·AI(인공지능)",318,"['시스템', '자율주행']"
포티투닷 주식회사,경력3년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"전산·IT기술지원, 웹프로그래머, 소프트웨어·하드웨어",319,"['자율주행', 'embedded', '제어', 'C', 'S/W', '시스템', '프로젝트', 'ai']"
텔레칩스,경력3~10년,-, 서울 송파구 올림픽로35다길 42 (신천동),자율주행,"네트워크·서버·보안, 빅데이터·AI(인공지능), ERP·시스템분석·설계",320,"['컴퓨터공학', '자율주행', 'Embedded', 'Linux', 'C', 'S/W', 'ADAS', '알고리즘']"
에티포스,경력1~3년,-," 경기도 성남시 분당구 벌말로50번길 41 (야탑동,투아이센터) 4층 405호",자율주행,소프트웨어·하드웨어,321,"['Embedded', '영어', 'C', 'SW', '프로젝트', 'Linux']"
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"통신·모바일, 기술영업, ERP·시스템분석·설계, 네트워크·서버·보안",322,"['ai', '데이터', 'AI', 'S/W']"
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"전산·IT기술지원, 전자·반도체, ERP·시스템분석·설계",323,"['회로', '자율주행', '제어', '시스템', 'ai']"
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"통신·모바일, ERP·시스템분석·설계, 네트워크·서버·보안",324,"['제어', 'ai']"
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"통신·모바일, 전산·IT기술지원, ERP·시스템분석·설계",325,"['제어', 'ai']"
포티투닷 주식회사,경력8년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"웹프로그래머, 빅데이터·AI(인공지능)",326,['ai']
온리원파트너스,경력10년↑,-," 서울특별시 성동구 아차산로17길 57 12층, 1201호(성수동2가,일신건영휴먼테코)",자율주행,세무·회계,327,[]
온리원파트너스,경력5년↑,-," 서울특별시 성동구 아차산로17길 57 12층, 1201호(성수동2가,일신건영휴먼테코)",자율주행,"재무·자금·IR, 세무·회계",328,[]
온리원파트너스,경력5년↑,-," 서울특별시 성동구 아차산로17길 57 12층, 1201호(성수동2가,일신건영휴먼테코)",자율주행,"재무·자금·IR, 세무·회계",329,[]
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"웹프로그래머, 기술영업",330,"['ai', '데이터', 'AI', 'S/W']"
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"데이터베이스·DBA, 빅데이터·AI(인공지능), 응용프로그래머",331,"['자율주행', '데이터', '시스템', 'Python', 'ai']"
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"빅데이터·AI(인공지능), 전자·반도체, ERP·시스템분석·설계",332,"['자율주행', 'embedded', 'computer', 'C', 'vision', 'AI', 'Python', 'Linux']"
현대엠시스템즈,신입/경력(연차무관),-," 경기 수원시 영통구 신원로 88  102동 805호 806호 (신동,디지털엠파이어2)",자율주행,소프트웨어·하드웨어,333,"['자율주행', '임베디드', 'S/W']"
주식회사 에이치엘클레무브,신입/경력(연차무관),-," 경기도 성남시 수정구 금토로80번길 21 (Next-M, 에이치엘클레무브 판교)",자율주행,"연구원·연구개발, 빅데이터·AI(인공지능), 기계·금속·재료",334,[]
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"빅데이터·AI(인공지능), 조사·분석·통계, 경영·기획·전략",335,"['자율주행', 'ai', '데이터']"
포티투닷 주식회사,경력8년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"소프트웨어·하드웨어, 전산·IT기술지원, ERP·시스템분석·설계",336,"['자율주행', '제어', 'C', 'ADAS', 'ai']"
(재)차세대융합기술연구원,신입/경력(연차무관),-, 경기도 수원시 영통구 광교로 145 (이의동),자율주행,"전자·반도체, 연구원·연구개발, 기계·금속·재료, 시설·환경·안전·플랜트, 바이오·식품공학",337,"['학사', '회로', '자율주행', 'Computer', 'Vision', 'AI', '알고리즘', 'ROS']"
티라로보틱스,경력9~16년,-," 경기도 성남시 중원구 둔촌대로 388 304호(상대원동,크란츠 테크노)",자율주행,"세무·회계, 재무·자금·IR",338,['자율주행']
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,"웹디자인, HTML·퍼블리싱·UI개발, 웹기획·웹마케팅·PM, 유통·상품기획·MD",339,"['자율주행', '데이터', '시스템', '프로젝트', 'AI', 'ai']"
주식회사 보스반도체,신입/경력3년↑,-,"국민연금, 의료보험, 산재보험, 고용보험, 식대지원, 간식제공, •	On-site 외국어...",자율주행,시스템프로그래머,340,"['자율주행', 'SW', 'S/W', '시스템', '박사', '임베디드', 'Linux']"
포티투닷 주식회사,경력5년↑,-," 서울특별시 강남구 남부순환로 2621 (도곡동,디앤오강남빌딩) 9층",자율주행,경영·기획·전략,341,"['자율주행', '영어', '데이터', '시스템', 'ai']"
탑커리어인사이트,경력3년↑,-, 서울특별시 강남구 역삼로17길 9 (역삼동) 배영빌딩 202호,자율주행,광학·의료장비,342,"['학사', '시스템']"
