기업이름,고용형태,연봉,기업주소,키워드,담당업무,필요역량,인덱스,키워드추출
주식회사 글로벌 로보틱스,경력무관,월급 230 만원 ~ 300 만원,경기도 안산시 단원구,로봇 제어, 로봇티칭 업무,(주)글로벌로보틱스 생산부서(로봇팀) 직원채용,237,[]
주식회사 글로벌 로보틱스,경력무관,월급 230 만원 ~ 300 만원,경기도 안산시 단원구,로봇 제어, 기계 조립 및 설치 업무,(주)글로벌로보틱스 생산부서(F.A팀) 직원채용,238,[]
㈜에스앤에스,신입/경력,회사내규에 따름,경기 여주시 ,로봇 제어," PL·PM·PO,경영지원,사무담당자,총무,HRD·HRM,노무관리자,구매관리자,자재관리자,설치·수리기사,정비기사,전기·전자엔지니어,기계엔...",-,239,[]
(주)미래전파공학연구소,경력무관,회사내규에 따름,서울 종로구 새문안로 69,딥러닝,  IT개발·데이터,"정보통신· IT사업(빅데이터, AI) 신입 /경력사원모집 공고",240,"['빅데이터', 'AI']"
(주)더블유컨셉코리아,경력3년,회사내규에 따름,서울 강남구 테헤란로 231,딥러닝,"  기획·전략,IT개발·데이터",-,241,[]
(주)윈텍오토메이션,경력무관,회사내규에 따름,경기 수원시 영통구 영통로200번길 71,딥러닝,"  IT개발·데이터,연구·R&D",-,242,[]
(주)서광시스템,경력1년,회사내규에 따름,서울 송파구 법원로11길 11,딥러닝,  IT개발·데이터,주정차단속 솔루션(MFC) 개발자 채용 (경력직),243,[]
롯데멤버스㈜,신입/경력,회사내규에 따름,서울 중구 순화동 AIA타워 14층,딥러닝,"  웹기획,마케팅기획,CRM마케터,시스템엔지니어,DBA,데이터엔지니어,데이터사이언티스트,고객센터관리자,머신러닝엔지니어",[롯데멤버스] 2024년 1월 신입 및 경력 모집 (AI기획 / FDS / 데이터추출),244,[]
주식회사오앤,경력2년,"연봉 3,000 만원 ~ 6,000 만원","서울특별시 강서구 마곡중앙1로 26, 604",딥러닝,  업무 주요 내용 - 온라인 쇼핑몰 상품 등록 수정 등 상품 관리 - 온라인 쇼핑몰 상품 수발주 관리 - 온라인 쇼핑몰 입주기업 간 상품 ...,-,245,[]
(주)슈프리마,경력2년,회사내규에 따름,경기 성남시 분당구 정자일로 248,딥러닝,"  IT개발·데이터,연구·R&D",[슈프리마 AI] 얼굴인식/비디오분석 알고리즘 개발자 모집,246,"['알고리즘', 'AI']"
밸류플러스테크놀러지(주),경력5년,회사내규에 따름,경기 성남시 중원구 사기막골로 164,딥러닝,  IT개발·데이터,-,247,[]
(주)에이아이네이션,경력3년,회사내규에 따름,서울 서초구 매헌로 16,딥러닝,"  생산,기획·전략,IT개발·데이터,영업·판매·무역",인공지능 컨설던트 경력직 채용,248,['인공지능']
㈜앤에이치씨,신입/경력,회사내규에 따름,인천 연수구 송도과학로 56,딥러닝,"  프론트엔드개발자,소프트웨어개발자,머신러닝엔지니어",소프트웨어개발 엔지니어 채용,249,['엔지니어']
(주)하이퍼놀로지,경력무관,회사내규에 따름,경기 수원시 장안구 서부로 2066,딥러닝,"  IT개발·데이터,연구·R&D",[하이퍼놀로지] AI 비전 R&D 경력 모집,250,"['비전', 'AI', 'R']"
(주)하이퍼놀로지,경력무관,회사내규에 따름,경기 수원시 장안구 서부로 2066,딥러닝,"  IT개발·데이터,연구·R&D",[하이퍼놀로지] ROS2 기반 디지털트윈 개발자 모집,251,[]
주식회사 넥스버,신입/경력1년,회사내규에 따름,경기 안양시 동안구 시민대로 230,딥러닝,"  IT개발·데이터,연구·R&D",기술연구소 프로그램 개발 및 기술지원 인재 채용(C / C++),252,['C']
(주)캔탑스,경력2년,"연봉 3,000 만원 ~ 6,000 만원",경기도 수원시 영통구 덕영대로1556번길 16,딥러닝,"  1. 임베디드 시스템 소프트웨어 개발 (주요 업무) ㆍ센서(카메라, 라이다 外) 인터페이스 드라이버 개발 ㆍ디지털 신호 처리 알고리즘...",[병역특례 전문연구요원 채용 포함] 임베디드 시스템 전자제품 개발자 모집 (경력),253,"['임베디드', '시스템']"
(주)캔탑스,경력2년,"연봉 3,000 만원 ~ 6,000 만원",경기도 수원시 영통구 덕영대로1556번길 16,딥러닝,"  임베디드 시스템 소프트웨어 개발 (주요 업무) ㆍ센서(카메라, 라이다 外) 인터페이스 드라이버 개발 ㆍ디지털 신호 처리 알고리즘 개...",[병역특례 전문연구요원 채용 포함] 임베디드 시스템 소프트웨어 개발자 모집(경력),254,"['임베디드', '시스템']"
㈜에프엠커뮤니케이션즈,신입/경력,회사내규에 따름,서울 서초구 반포대로22길 34,딥러닝,"  마케팅기획,AE(광고기획자),온라인마케터,콘텐츠마케터,백엔드개발자,머신러닝엔지니어,홍보,CRM마케터,채널관리자",-,255,[]
주식회사 아이티테크,경력5년,월급 350 만원 ~ 500 만원,경기도 안양시 동안구 시민대로327번길 11-41,딥러닝,  1. 근무위치  경기도 안양시 평촌역 인근 도보 10분 내외 안양시 창업지원 센터내 2. 모집인원 SW  2명 3.  ㆍAI deep le...,임베디드 리눅스 SW 개발자 모십니다.,256,"['임베디드', 'SW']"
주식회사 넥스버,경력무관,회사내규에 따름,경기 안양시 동안구 시민대로 230,딥러닝,"  IT개발·데이터,연구·R&D",임베디드 리눅스 C/C++ SW 개발 / 기술지원,257,"['임베디드', 'C', 'SW']"
(주)바이오뉴트리온,경력2년,회사내규에 따름,서울 강남구,딥러닝,"  IT개발·데이터,연구·R&D",[IT 바이오 스타트업] AI Scientist 연구자 채용,258,"['IT', 'AI']"
보은전자방송통신㈜,경력1년,"연봉 4,500 만원 ~ 4,500 만원",서울 강서구 양천로57길 26,딥러닝,"  IT개발·데이터,연구·R&D","S/W 개발자 경력 1~3년 채용 (윈도우, C#/WPF, C/C++)",259,"['S/W', 'C']"
보은전자방송통신㈜,신입,"연봉 3,700 만원 ~ 3,700 만원",서울 강서구 양천로57길 26,딥러닝,"  IT개발·데이터,연구·R&D","S/W 개발자 신입 채용(윈도우, C#/ WPF, C/ C++, 연봉 3700만)",260,"['S/W', 'C']"
에이아이테크(주),경력무관,"연봉 8,000 만원 ~ 8,000 만원",경기 평택시 산단로16번길 12,딥러닝,  IT개발·데이터,-,261,[]
(주)델타엑스,경력무관,회사내규에 따름,서울 중구 남대문로9길 24,딥러닝,"  생산,IT개발·데이터",임베디드 시스템 엔지니어 모집,262,"['임베디드', '엔지니어', '시스템']"
비상교육,신입,회사내규에 따름,서울 구로구 디지털로33길 48,딥러닝,  - ERP( WinForm )개발 및 .net MVC( C# )개발- 각종 교육 및 학습 데이터 분석(EDA) 및 서비스 지능화 검증- 정형/비정형 데...,24년 1월 IT직무 수시채용(신입),263,[]
고큐바테크놀로지(주),경력3년,회사내규에 따름,서울특별시 중구 한강대로 416,딥러닝,  - 비전센싱 AI 연구원- 자사 서비스 개발 구현 및 업데이트- 데이터 처리 및 분석- 비전센싱 데이터 처리 연구 및 개발- 딥러닝 알고...,"인공지능(AI), 비전인식 외 경력 채용",264,"['AI', '인공지능']"
국방과학연구소,경력무관,회사내규에 따름,서울특별시 동대문구 회기로 37,딥러닝,"  사무담당자,인사담당자,회계담당자,재무담당자,감사,앱개발자,시스템엔지니어,네트워크엔지니어,소프트웨어개발자,머신러닝엔지니어,주...",-,265,[]
㈜제이엘케이,경력무관,회사내규에 따름,서울 강남구 테헤란로33길 5,딥러닝,"  앱개발자,데이터엔지니어,머신러닝엔지니어",[제이엘케이] 인공지능(AI) 빅데이터 연구원(전문연구요원),266,"['빅데이터', 'AI', '인공지능']"
(주)미래전파공학연구소,경력무관,회사내규에 따름,서울 종로구 새문안로 69,딥러닝,  IT개발·데이터,"정보통신· IT사업(빅데이터, AI) 신입 /경력사원모집 공고",267,"['빅데이터', 'AI']"
(주)더블유컨셉코리아,경력3년,회사내규에 따름,서울 강남구 테헤란로 231,딥러닝,"  기획·전략,IT개발·데이터",-,268,[]
(주)윈텍오토메이션,경력무관,회사내규에 따름,경기 수원시 영통구 영통로200번길 71,딥러닝,"  IT개발·데이터,연구·R&D",-,269,[]
(주)서광시스템,경력1년,회사내규에 따름,서울 송파구 법원로11길 11,딥러닝,  IT개발·데이터,주정차단속 솔루션(MFC) 개발자 채용 (경력직),270,[]
롯데멤버스㈜,신입/경력,회사내규에 따름,서울 중구 순화동 AIA타워 14층,딥러닝,"  웹기획,마케팅기획,CRM마케터,시스템엔지니어,DBA,데이터엔지니어,데이터사이언티스트,고객센터관리자,머신러닝엔지니어",[롯데멤버스] 2024년 1월 신입 및 경력 모집 (AI기획 / FDS / 데이터추출),271,[]
주식회사오앤,경력2년,"연봉 3,000 만원 ~ 6,000 만원","서울특별시 강서구 마곡중앙1로 26, 604",딥러닝,  업무 주요 내용 - 온라인 쇼핑몰 상품 등록 수정 등 상품 관리 - 온라인 쇼핑몰 상품 수발주 관리 - 온라인 쇼핑몰 입주기업 간 상품 ...,-,272,[]
(주)슈프리마,경력2년,회사내규에 따름,경기 성남시 분당구 정자일로 248,딥러닝,"  IT개발·데이터,연구·R&D",[슈프리마 AI] 얼굴인식/비디오분석 알고리즘 개발자 모집,273,"['알고리즘', 'AI']"
밸류플러스테크놀러지(주),경력5년,회사내규에 따름,경기 성남시 중원구 사기막골로 164,딥러닝,  IT개발·데이터,-,274,[]
(주)에이아이네이션,경력3년,회사내규에 따름,서울 서초구 매헌로 16,딥러닝,"  생산,기획·전략,IT개발·데이터,영업·판매·무역",인공지능 컨설던트 경력직 채용,275,['인공지능']
㈜앤에이치씨,신입/경력,회사내규에 따름,인천 연수구 송도과학로 56,딥러닝,"  프론트엔드개발자,소프트웨어개발자,머신러닝엔지니어",소프트웨어개발 엔지니어 채용,276,['엔지니어']
(주)하이퍼놀로지,경력무관,회사내규에 따름,경기 수원시 장안구 서부로 2066,딥러닝,"  IT개발·데이터,연구·R&D",[하이퍼놀로지] AI 비전 R&D 경력 모집,277,"['비전', 'AI', 'R']"
(주)하이퍼놀로지,경력무관,회사내규에 따름,경기 수원시 장안구 서부로 2066,딥러닝,"  IT개발·데이터,연구·R&D",[하이퍼놀로지] ROS2 기반 디지털트윈 개발자 모집,278,[]
주식회사 넥스버,신입/경력1년,회사내규에 따름,경기 안양시 동안구 시민대로 230,딥러닝,"  IT개발·데이터,연구·R&D",기술연구소 프로그램 개발 및 기술지원 인재 채용(C / C++),279,['C']
(주)캔탑스,경력2년,"연봉 3,000 만원 ~ 6,000 만원",경기도 수원시 영통구 덕영대로1556번길 16,딥러닝,"  1. 임베디드 시스템 소프트웨어 개발 (주요 업무) ㆍ센서(카메라, 라이다 外) 인터페이스 드라이버 개발 ㆍ디지털 신호 처리 알고리즘...",[병역특례 전문연구요원 채용 포함] 임베디드 시스템 전자제품 개발자 모집 (경력),280,"['임베디드', '시스템']"
(주)캔탑스,경력2년,"연봉 3,000 만원 ~ 6,000 만원",경기도 수원시 영통구 덕영대로1556번길 16,딥러닝,"  임베디드 시스템 소프트웨어 개발 (주요 업무) ㆍ센서(카메라, 라이다 外) 인터페이스 드라이버 개발 ㆍ디지털 신호 처리 알고리즘 개...",[병역특례 전문연구요원 채용 포함] 임베디드 시스템 소프트웨어 개발자 모집(경력),281,"['임베디드', '시스템']"
㈜에프엠커뮤니케이션즈,신입/경력,회사내규에 따름,서울 서초구 반포대로22길 34,딥러닝,"  마케팅기획,AE(광고기획자),온라인마케터,콘텐츠마케터,백엔드개발자,머신러닝엔지니어,홍보,CRM마케터,채널관리자",-,282,[]
주식회사 아이티테크,경력5년,월급 350 만원 ~ 500 만원,경기도 안양시 동안구 시민대로327번길 11-41,딥러닝,  1. 근무위치  경기도 안양시 평촌역 인근 도보 10분 내외 안양시 창업지원 센터내 2. 모집인원 SW  2명 3.  ㆍAI deep le...,임베디드 리눅스 SW 개발자 모십니다.,283,"['임베디드', 'SW']"
주식회사 넥스버,경력무관,회사내규에 따름,경기 안양시 동안구 시민대로 230,딥러닝,"  IT개발·데이터,연구·R&D",임베디드 리눅스 C/C++ SW 개발 / 기술지원,284,"['임베디드', 'C', 'SW']"
(주)바이오뉴트리온,경력2년,회사내규에 따름,서울 강남구,딥러닝,"  IT개발·데이터,연구·R&D",[IT 바이오 스타트업] AI Scientist 연구자 채용,285,"['IT', 'AI']"
보은전자방송통신㈜,경력1년,"연봉 4,500 만원 ~ 4,500 만원",서울 강서구 양천로57길 26,딥러닝,"  IT개발·데이터,연구·R&D","S/W 개발자 경력 1~3년 채용 (윈도우, C#/WPF, C/C++)",286,"['S/W', 'C']"
보은전자방송통신㈜,신입,"연봉 3,700 만원 ~ 3,700 만원",서울 강서구 양천로57길 26,딥러닝,"  IT개발·데이터,연구·R&D","S/W 개발자 신입 채용(윈도우, C#/ WPF, C/ C++, 연봉 3700만)",287,"['S/W', 'C']"
에이아이테크(주),경력무관,"연봉 8,000 만원 ~ 8,000 만원",경기 평택시 산단로16번길 12,딥러닝,  IT개발·데이터,-,288,[]
(주)델타엑스,경력무관,회사내규에 따름,서울 중구 남대문로9길 24,딥러닝,"  생산,IT개발·데이터",임베디드 시스템 엔지니어 모집,289,"['임베디드', '엔지니어', '시스템']"
비상교육,신입,회사내규에 따름,서울 구로구 디지털로33길 48,딥러닝,  - ERP( WinForm )개발 및 .net MVC( C# )개발- 각종 교육 및 학습 데이터 분석(EDA) 및 서비스 지능화 검증- 정형/비정형 데...,24년 1월 IT직무 수시채용(신입),290,[]
고큐바테크놀로지(주),경력3년,회사내규에 따름,서울특별시 중구 한강대로 416,딥러닝,  - 비전센싱 AI 연구원- 자사 서비스 개발 구현 및 업데이트- 데이터 처리 및 분석- 비전센싱 데이터 처리 연구 및 개발- 딥러닝 알고...,"인공지능(AI), 비전인식 외 경력 채용",291,"['AI', '인공지능']"
국방과학연구소,경력무관,회사내규에 따름,서울특별시 동대문구 회기로 37,딥러닝,"  사무담당자,인사담당자,회계담당자,재무담당자,감사,앱개발자,시스템엔지니어,네트워크엔지니어,소프트웨어개발자,머신러닝엔지니어,주...",-,292,[]
㈜제이엘케이,경력무관,회사내규에 따름,서울 강남구 테헤란로33길 5,딥러닝,"  앱개발자,데이터엔지니어,머신러닝엔지니어",[제이엘케이] 인공지능(AI) 빅데이터 연구원(전문연구요원),293,"['빅데이터', 'AI', '인공지능']"
한국과학기술원,-,월급 239 만원 ~ 239 만원,"서울특별시 동대문구 회기로 85, KAIST 서울캠퍼스",딥러닝,-,KAIST 김재철AI대학원 교수 연구실 위촉연구원 채용공고,294,[]
(주)티젠소프트인크루트,신입/경력,회사내규에 따름,서울특별시 금천구 가산디지털1로 204,딥러닝,"  스마트폰 어플리케이션,JSP,JAVA 모바일 , JAVA, JSP 개발",JAVA 전자정부 표준 프레임워크/Spring 웹 개발자 모집,295,[]
(주)티젠소프트인크루트,신입/경력,회사내규에 따름,서울특별시 금천구 가산디지털1로 204,딥러닝,"  JAVA,JSP JAVA/JSP 프로그램 개발",의료영상처리 및 인공 지능 개발 - 머신러닝/딥러닝 개발자,296,"['머신러닝', '딥러닝']"
(주)티젠소프트인크루트,신입/경력,회사내규에 따름,서울특별시 금천구 가산디지털1로 204,딥러닝,  솔루션·컨텐츠 SW 솔루션 영업,의료영상처리 및 인공 지능 개발 - 머신러닝/딥러닝 개발자,297,"['머신러닝', '딥러닝']"
주식회사에스에이티벤처 코스닥 중견워크넷인증,경력2년,"연봉 3,000 만원 이상",경기도 군포시 엘에스로 175,딥러닝,  지원자격 ㆍ경력  경력 2년 이상 ㆍ학력  초대졸 이상 ㆍ급여  3천만원(대졸 초임 기준) 이상 / 협의 가능 ㆍ머신러닝 - 객체 검출...,"[2024년 공채] 모바일, JAVA, JSP 개발자 신입/경력 모집",298,[]
㈜로보티즈벤처 강소잡코리아,신입/경력,회사내규에 따름,서울특별시 강서구 마곡중앙5로1길 37,딥러닝,"  소프트웨어개발자,머신러닝엔지니어","[2024년 개발팀 공채] JAVA, JSP 개발자 신입,경력 모집",299,[]
㈜비상교육코스피 가족잡코리아,경력,회사내규에 따름,서울 구로구 구로동 170-10번지,딥러닝,"  웹기획,콘텐츠마케터,백엔드개발자,프론트엔드개발자,웹개발자,앱개발자,시스템엔지니어,DBA,데이터엔지니어,데이터사이언티스트,머신...",[2024년 영업팀 공채] IT기술영업 신입/경력 모집,300,[]
㈜앤씨앤벤처 코스닥 강소잡코리아,신입/경력,회사내규에 따름,경기 성남시 분당구 판교로 323,딥러닝,"  앱개발자,머신러닝엔지니어,제품영업,기계엔지니어,반도체엔지니어,보안엔지니어,데이터사이언티스트,데이터엔지니어,네트워크엔지니어...",머신러닝(딥러닝) 개발 경력자 정규직 채용,301,"['경력자', '머신러닝', '딥러닝']"
이노레이㈜잡코리아,경력,"연봉 3,300 만원 ~ 3,300 만원",서울 서초구,딥러닝,"  데이터엔지니어,머신러닝엔지니어,R&D·연구원",[실외자율주행로봇 연구개발] 비전 인식 딥러닝 및 Localization,302,"['비전', '딥러닝']"
(주)코드랩이앤티사람인,경력2년,회사내규에 따름,서울 금천구 가산동 459-14,딥러닝,  IT개발·데이터,-,303,[]
한국생산기술연구원공공 가족사람인,신입,회사내규에 따름,경기 안산시 상록구,딥러닝,  IT개발·데이터,-,304,[]
엔셀주식회사벤처 강소워크넷인증,신입,"연봉 3,400 만원 ~ 3,600 만원",경기도 성남시 분당구 성남대로 393,딥러닝,  주요업무 - 인공지능 알고리즘 개발 및 연구 - 인공지능 서비스 솔루션 개발 - Vision/Time Series 데이터 처리 및 분석 자격요건 ...,[AI 엔지니어 모집] 2차전지 초음파검사 AI개발,305,"['엔지니어', 'AI']"
㈜스피랩잡코리아,경력,"연봉 4,500 만원 ~ 4,500 만원",경기 용인시 기흥구 동백죽전대로 44,딥러닝,"  시스템엔지니어,하드웨어개발자,머신러닝엔지니어,기계엔지니어,클라우드엔지니어",[K-Digital Training] (빅데이터/AI/파이썬/자바) 강사 채용,306,"['빅데이터', 'AI']"
(주)프로써치코리아인크루트,경력3년,회사내규에 따름,서울특별시 강남구 테헤란로 333,딥러닝,  -선량계산 수식기반 Analytic 알고리즘 개발-CT를 이용한 의료영상 전문 영역의 데이터 활용 딥러닝 연구,-,307,[]
골프존지디알아카데미 주식회사잡코리아,경력3년,회사내규에 따름,서울 강남구 도산대로 544,딥러닝,  머신러닝엔지니어,엔셀주식회사 AI(인공지능)개발자 모집,308,"['AI', '인공지능']"
(주)델토이드인크루트,신입,"연봉 3,000 만원 ~ 3,500 만원",서울특별시 구로구 신도림로13길 51,딥러닝,  JAVA ㆍ메타버스 웹 또는 보행검사용 웹/앱 프런트 개발ㆍIMU 센서를 활용한 보행검사용 앱 데이터 딥러닝 연구(파이썬) ㆍJAVAㆍN...,경력 임베디드 AI 시스템 개발 채용,309,"['임베디드', 'AI', '시스템']"
투아이시스㈜벤처 강소잡코리아,신입/경력,회사내규에 따름,경기 안양시 만안구 덕천로 16,딥러닝,"  백엔드개발자,프론트엔드개발자,머신러닝엔지니어",-,310,[]
주식회사나래트랜드강소워크넷인증,경력1년,"연봉 3,500 만원 ~ 4,000 만원",경기도 부천시 부흥로303번길 36,딥러닝,"  ★S/W 개발자(데이터엔지니어) 1.지원자격 ㆍ경력  경력 1년이상(주임연구원, 선임연구원, 연구원급) ㆍGIT 사용 경험자 ㆍjavascr...",-,311,[]
아이메디신캐치,경력무관,회사내규에 따름,서울특별시 강남구 테헤란로 411,딥러닝,"  빅데이터/AI, DBA/데이터베이스","웹, 앱 프런트/파이썬 서버 개발자 모집",312,[]
하드콘 주식회사워크넷인증,경력무관,"연봉 2,800 만원 ~ 4,000 만원",서울특별시 금천구 가산디지털1로 131,딥러닝,"  하드콘(주) 은 공장 자동화 제어 시스템, AI/딥러닝 머신비전 솔루션 을 개발하여 다양한 산업 현장에 공급하고 있습니다. 회사 구성...",-,313,[]
(주)대웅기연인크루트,경력1년,회사내규에 따름,경기 부천시 산업로 9,딥러닝,  분석·설계 ERP 구축관련,2024년 상반기 정규직 직원 모집(S/W 개발자(데이터엔지니어)),314,['S/W']
라온피플벤처 강소캐치,경력무관,회사내규에 따름,경기도 성남시 분당구 판교로 723,딥러닝,  빅데이터/AI,기업부설연구소 딥러닝/머신러닝 책임연구원 채용,315,"['머신러닝', '딥러닝']"
(주)디세이코리아,경력무관,"연봉 2,700 만원 ~ 5,000 만원",경기도 용인시 수지구 광교중앙로 338,딥러닝,  [채용 희망인원] 1. MES개발 또는 ESS개발 또는 TC 개발자 2. 머신러닝 개발자 3. C# 개발자 4. JAVA 개발자 5. DevExpre...,장비제어 / 자동제어 / 머신비전 / 딥러닝비전 / 영상처리 / C# 개발자 모집,316,"['영상처리', 'C']"
(주)에이알247,경력(연차무관),"6,000~7,000"," 경기도 성남시 분당구 성남대로 69 (구미동,로드랜드EZ타워) 1층",자율주행,"빅데이터·AI(인공지능), 응용프로그래머, 소프트웨어·하드웨어","[자율주행, C, Tracking, SW, Camera, 인공지능, ROS, 석사, 시스템, Lidar, Object Detection, 알고리즘, 박사, Object Segmentation]",317,"['SW', 'ROS', '알고리즘', '자율주행', '석사', '박사', '시스템', 'C', '인공지능']"
쓰리핸즈,경력1~5년,-," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"소프트웨어·하드웨어, 게임(Game), 응용프로그래머","[플랫폼, 자율주행, 로보틱스, 서비스, SW, QA, 소프트웨어공학, 리눅스, ROS, Linux, 시스템, Python, 컴퓨터공학, 소통, 알고리즘]",318,"['Linux', 'SW', 'Python', 'ROS', '알고리즘', '자율주행', '컴퓨터공학', '시스템', '로보틱스']"
매버릭컨설팅(주),경력8~22년,-," 서울특별시 서초구 강남대로 309 2016호(서초동,코리아비지니스센타)",자율주행,경영·기획·전략,"[자율주행, ADAS]",319,"['자율주행', 'ADAS']"
현대자동차(주),경력(연차무관),-, 서울특별시 서초구 헌릉로 12 (양재동),자율주행,"빅데이터·AI(인공지능), 품질관리, 기계·금속·재료","[네트워크, 자율주행, 대회, SW, 센서, 전자, 마이크로프로세서, 동역학, 전자회로, 컴퓨터, 기계공학, 프로젝트, 이미지센서, 아키텍처, 전기, 신호처리, 딥러닝, 센서퓨전, Simulink, 자동차공학, 영상처리, 알고리즘, C, Vector, 운영체제, Matlab, Tool, dSPACE, 레이더, 영어, 컴퓨터공학, 제어, 학사, 시스템, Python, 임베디드, 소통, 로봇공학]",320,"['영상처리', 'SW', '딥러닝', 'Python', '영어', '알고리즘', '자율주행', '컴퓨터공학', '시스템', '학사', '임베디드', '전기', '전자', '기계공학', '네트워크', '프로젝트', '제어', 'C']"
현대자동차(주),경력(연차무관),-, 서울특별시 서초구 헌릉로 12 (양재동),자율주행,"빅데이터·AI(인공지능), ERP·시스템분석·설계","[네트워크, 자율주행, 대회, SW, 센서, 전자, 마이크로프로세서, 동역학, 전자회로, 컴퓨터, 기계공학, 프로젝트, 구동부, 아키텍처, 전기, 신호처리, 딥러닝, 센서퓨전, Simulink, 자동차공학, 제어부, 영상처리, C, Vector, 운영체제, Matlab, Tool, dSPACE, 레이더, 영어, 컴퓨터공학, 제어, 학사, 시스템, Python, 임베디드, 소통, 로봇공학]",321,"['영상처리', 'SW', 'Python', '딥러닝', '영어', '자율주행', '컴퓨터공학', '시스템', '학사', '임베디드', '전기', '전자', '기계공학', '네트워크', '프로젝트', '제어', 'C']"
(주)에이알247,신입/경력(연차무관),"5,000~10,000"," 경기도 성남시 분당구 성남대로 69 (구미동,로드랜드EZ타워) 1층",자율주행,"소프트웨어·하드웨어, 응용프로그래머","[자율주행, SLAM, SW, 시스템, Lidar]",322,"['자율주행', 'SW', 'SLAM', '시스템']"
(주)에이알247,경력(연차무관),-," 경기도 성남시 분당구 성남대로 69 (구미동,로드랜드EZ타워) 1층",자율주행,"빅데이터·AI(인공지능), 응용프로그래머, 소프트웨어·하드웨어","[자율주행, C, LiDAR, SW, ai, Camera, Lidar, Object Detection]",323,"['ai', '자율주행', 'C', 'SW']"
쓰리핸즈,경력1~6년,-," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"소프트웨어·하드웨어, 게임(Game), 응용프로그래머","[플랫폼, 자율주행, SW, QA, 시스템, Python, 데이터]",324,"['SW', 'Python', '자율주행', '시스템', '데이터']"
현대자동차(주),경력7년↑,-, 서울특별시 서초구 헌릉로 12 (양재동),자율주행,"빅데이터·AI(인공지능), 소프트웨어·하드웨어, 전산·IT기술지원","[네트워크, 자율주행, 대회, SW, 센서, 전자, 마이크로프로세서, 동역학, 전자회로, 컴퓨터, 기계공학, 프로젝트, 아키텍처, 전기, 신호처리, 딥러닝, 센서퓨전, Simulink, 자동차공학, 회화, 데이터, 영상처리, 알고리즘, C, Vector, 운영체제, Matlab, Tool, dSPACE, 영어, Computer Vision, 컴퓨터공학, 제어, DSP, Embedded, 학사, 시스템, Python, 임베디드, 소통, 로봇공학]",325,"['컴퓨터공학', '데이터', 'C', '영상처리', 'Python', '알고리즘', '제어', 'SW', '딥러닝', '영어', '학사', '임베디드', '네트워크', '프로젝트', '자율주행', '전기', '시스템', '전자', '기계공학', 'Embedded']"
매버릭컨설팅(주),경력3~23년,-," 서울특별시 서초구 강남대로 309 2016호(서초동,코리아비지니스센타)",자율주행,"기계·금속·재료, 전자·반도체","[자율주행, Radar, Platform]",326,['자율주행']
쓰리핸즈,경력2~10년,-," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"소프트웨어·하드웨어, 응용프로그래머","[자율주행, 전자, 석사, 컴퓨터, ROS, 전기, 알고리즘, C, 운영체제, 경로 계획, 프로그래밍, 영어, 커뮤니케이션, 플랫폼, 제어, Embedded, 학사, Control, Linux, 시스템, 문서]",327,"['Linux', '영어', 'ROS', '알고리즘', '자율주행', 'Embedded', '전기', '시스템', '학사', '전자', '제어', 'C', '석사']"
쓰리핸즈,경력3~6년,-," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"소프트웨어·하드웨어, 응용프로그래머","[adas, 자율주행, 클러스터링, 센서, 석사, camera, Geometry, Tracking, 통계, ROS, 자료구조, 데이터, 알고리즘, C, Camera, 프로그래밍, 확률, 수학, 플랫폼, 트리, AI, 시스템, ML, 박사]",328,"['ROS', '알고리즘', '자율주행', 'AI', '박사', '시스템', '데이터', 'C', 'adas', '석사']"
쓰리핸즈,경력3~8년,-," 서울특별시 서초구 바우뫼로 222 (양재동,영진빌딩)",자율주행,"소프트웨어·하드웨어, 응용프로그래머","[플랫폼, 자율주행, 프로젝트, 서비스, Control, IT, 커뮤니케이션]",329,"['프로젝트', '자율주행', 'IT']"
코가로보틱스(주),신입/경력(연차무관),-," 서울특별시 성동구 왕십리로 222 516호(사근동,한양대학교 에이치아이티)",자율주행,"빅데이터·AI(인공지능), 소프트웨어·하드웨어",[자율주행],330,['자율주행']
(주)조인스에이치알코리아,경력3년↑,-, 서울특별시 서초구 서운로 160,자율주행,연구원·연구개발,"[자율주행, DSP, 전파, 센서, 임베디드, 학사, Radar, 전자, 레이더, S/W, 전기, 시스템, RADAR, ADAS, 기능안전, 컴퓨터공학, 영어, 제어]",331,"['영어', 'S/W', '자율주행', '컴퓨터공학', '학사', '시스템', '임베디드', '전기', '전자', 'ADAS', '제어']"
(주)조인스에이치알코리아,경력3년↑,-, 서울특별시 서초구 서운로 160,자율주행,"연구원·연구개발, 시스템프로그래머","[자율주행, SW, 센서, 전자, RADAR, ADAS, 기능안전, S/W, 전파, Radar, 전기, 신호처리, 알고리즘, C, AUTOSAR, 레이더, 영어, 컴퓨터공학, 제어, DSP, 학사, Firmware, 시스템, Python, 임베디드, Safety]",332,"['SW', 'Python', '영어', '알고리즘', '자율주행', 'S/W', '컴퓨터공학', '시스템', '학사', '임베디드', '전기', '전자', 'ADAS', '제어', 'C']"
