,기업이름,담당업무,연봉,고용형태,키워드,기업주소,필요역량
70,삼정KPMG그룹,"ERP·시스템분석·설계, 응용프로그래머",,경력2년↑,딥러닝, 서울특별시 강남구 테헤란로 152 강남파이낸스센터 27층 ,"


AI Solution 서버 개발자 경력직 채용 - 인크루트 채용













우리 회사를 한 줄로 표현해주세요삼정KPMG그룹AI Solution 서버 개발자 경력직 채용Lighthouse는 Global KPMG150여 개국의 네트워크로 구성된 개발 및 서비스 조직 입니다.Lighthouse Korea는 머신러닝 엔지니어 및 서비스 개발자들이 모여 금융 분야에서의 새로운 기술적용을 이끌고 있습니다.특히, 자체적으로 학습시킨 Finance Language Model과 Vision Model을 보유하고 다양한 Downstream task를 개발, 최신 논문을 활용하여 높은 수준의 문서 처리 플랫폼을 개발하고 있습니다.금융 데이터 및 다양한 domain에서 활용할 수 있는 가치 있는 서비스를 함께 개발할 인재를 채용하고자 합니다.흥미롭고 다양한 문제들을 새로운 기술을 적용하여 해결하고 성장하는 기회를 함께 하기를 바랍니다

모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




AI Solution 서버개발자

[담당업무]Lighthouse부서의 AI 솔루션 모델 서빙 및 전처리 서버 개발


[자격요건]- 경력 2년 이상- Python및 Flask나 Django로 API 또는 웹 서비스를 개발한 경험이 있거나 가능- 면접시 코딩테스트 진행[우대사항]- PyTorch 또는Tensorflow 모델 서빙에 대한 경험- Machine Learning 또는 Deep Learning에 대한 관심이 있는 개발자- NLP에대한 기초적인 수준의 이해- Machine Learning Engineer와의 커뮤니케이션 경험

0 명





근무조건
고용형태: 정규직인근지하철역: 서울2호선 역삼 (2번 출구에서  100m이내)급여조건: 연봉 회사내규


전형단계 및 제출서류
전형단계: 서류전형 > 검사진행 > 면접진행 > 2차면접진행 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
채용시
접수방법: 자사 홈페이지접수양식: 자유양식


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
71,(주)프로매치코리아,"경영·기획·전략, 응용프로그래머, 빅데이터·AI(인공지능)",,경력(연차무관),딥러닝," 서울특별시 강남구 테헤란로 333 10층 (역삼동,신도벤처타워) ","


상장 금융지주 계열 기술원의 전략기획,자연어처리 NLP 연구 과차장급 3명 - 인크루트 채용













[등록일 : 01.12] - 미 채용시 최대 2개월까지 진행(지원전 사전에 문자나 이메일주소 부탁-지원서 발송건)* 연 단위로 이직횟수 많은 분은 지원 불가, 반드시 경력 매치되는 분만 지원 요망000금융지주 IT계열 종합기술원 채용건입니다. 그룹  총자산 4,536억원, 매출액 2,829억원, 영업익 89억원, 직원 수 1,014명   - 금융그룹의 DT를 위한 신기술 연구 및 서비스를 개발하는 기술연구소  - 기술연구를 통한 그룹의 DT 선도'의 비전하에 손님 개인별 맞춤 AI 금융서비스      제공뿐 아니라, 그룹의 비대면 서비스 강화 등을 목표로 Data Science, Computer       Vision, NLP, 금융공학, AI Platform 등 AI 기술을 금융서비스에 접목하기 위한      연구를 주로 수행함(2018년 설립)​A.전략기획 과차장급 ■ 업무내용 - 금융산업 환경 및 AI 트렌드 기반 단기/중장기 기술전략 로드맵 수립 및 실행 - 관계사 커뮤니케이션 및 사내 조직부서와 협업 및 조율 - AI 기술 시장동향 리서치 및 Reporting을 통한 경영전략 방향성 수립 - 연구소 조직 및 성과 기반 대내외 브랜딩 기획 및 그룹 내 확산 ■ 필수조건- 전략/서비스 기획 관련 업무 경험 5년 이상 - MS Office 기반 문서작성 능력 ■ 우대사항 - 대기업 경영기획/전략, 주요 컨설팅사 경력 보유 - 금융사/핀테크사 경영기획/전략 경험 보유​아래 기업 출신자 우선 채용- 컨설팅, AI, 전략기획, 금융, PwC/KPMG/EY/딜로이트필수요건     - 주요 컨설팅펌 금융/AI 프로젝트 경력 보유자      - '금융' and 'AI' 키워드 포함된 경력 위주 후보자      - 연차 8~15년 경력자 선호​B.자연어처리 NLP 연구 과차장급 2명[업무내용] ■ NLP 원천 기술 및 서비스 연구개발- 형태소 분석, 개체명 인식, 구문 분석, 언어모델 등 NLP 기반기술 연구 개발 - 정보추출, 평판분석, 문서요약, 문서분류 ■ 토픽 모델링 등 텍스트마이닝 기술 연구 개발 - 질의응답, 기계독해, 대화모델, NLU, NLG 등 Conversational AI 기술 연구 개발- 머신러닝, 딥러닝 기반 알고리즘 및 최적화 기술 연구 개발 - NLP 분야 선행 기술 연구[필수조건] - 자연어처리/텍스트마이닝/머신러닝/딥러닝 모델 연구개발 경력자 - 딥러닝 프레임워크(PyTorch, TensorFlow 등) 기반 자연어처리 연구개발 경험 - 관련 근무 경력: 석사급 7년/박사급 2년 이상 -> 석/박사과정 포함 총경력 12년~20년[우대사항] - NLP 관련 딥러닝 지식 및 활용 경험 - 챗봇, 상담 시스템 등의 서비스 개발 경험- NLP 관련 솔루션 설계, 개발, 기술 배포, 서비스 적용 경험 - AI 관련 최신 논문의 작성 및 이해, 활용 경험 - C++ 프로그래밍 능력 - 박사학위 보유자 [처우수준] - 인재 추천 시 지원자의 대략적인 처우수준 반드시 확인 요망. - 현재 연봉 대비 인상​[채용절차] 서류전형 -> 인성검사 -> 면접전형(1 Day Interview: 1차 실무 면접, 2차 임원 면접)    -> 채용검진/처우협의 -> 최종 합격​근무지 : 강남사옥-강남역/역삼역 도보 5분연락주시는 분에게 지원서를 송부드립니다.(문자로 이메일 주소 부탁합니다)아래를 클릭하시면 상세 채용 요건을 보실 수 있습니다.(추가 기업들 포지션 포함)==>C17-18 000금융지주 IT계열 종합기술원의 전략기획 및 자연어처리 NLP 연구 과차장급 3명이직 적은분 필수 : 인쿠르트 지원은 연락할 수 없습니다. (이력서 에러)-문자나 이메일로 이메일주소 연락주시는분에게 지원서 양식을 송부드립니다.지원서에 현재 및 최종 연봉/희망연봉/핵심역량, 경력 회사별 간략소개, 회사별 이직사유 명기 필수----------------------------------------------------------------------------""사람과 사업을 가치있게 하는 기업!""                            Active HR!----------------------------------------------------------------------------프로매치코리아 대표  송  찬 영***-****-****-e6947abcac72"">HR컨설팅사업부 / 대표컨설턴트                     H.P : ***-****-****E-mail : loveyou@promatch.co.kr******@*******.*** Home : http://www.promatch.co.kr               서울시 강남구 테헤란로 333, 신도벤처타워 10층----------------------------------------------------------------------------







"
72,(주)뷰런테크놀로지,빅데이터·AI(인공지능),,신입/경력(연차무관),딥러닝," 서울특별시 서초구 강남대로 311 (서초동,한화생명보험빌딩) ","


[Vueron] SLAM Engineer - 인크루트 채용
















(주)뷰런테크놀로지
[Vueron] SLAM Engineer



모집부문 및 자격요건






모집부문
담당업무
자격요건
인원




SLAM Engineer

[담당업무]업무내용-	자율주행을 위한 LiDAR를 기반 SLAM 알고리즘 개발-	LiDAR를 기반으로 한 위치인지 알고리즘 개발-	자격요건-   관련분야 (컴퓨터공학, 전기전자공학 등) 석사 학위자 이상 또는 이에 준하는 경력을 소유하신 분-   SLAM, Mapping, Localization 개발 경험-   C/C++ 및 객체지향 프로그래밍 스킬 보유자-   알고리즘, 자료구조, 운영체제에 대한 깊은 이해를 갖추신 분우대사항-   LiDAR, camera, IMU 등과 같은 다양한 센서들의 기본적인 특성을 알고 계신 분-   최신 SLAM 기술 트렌드를 이해하고 계신 분-   자율주행/ADAS 기술에 관심을 갖고 계신 분 [근무부서 및 직급/직책]근무부서: R&D 개발팀


[자격요건]경력사항: 신입, 경력(연차무관)학력사항: 대학교(4년)졸업 이상[우대사항]전공계열: 공학계열우대사항: 운전가능자, 석박사

0 명





근무조건
고용형태: 정규직(수습기간3개월)근무부서: R&D 개발팀급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 시험진행 > 면접진행 > 최종합격추가 제출서류이력서에 연락처 기재제출한 서류는 일체 반환하지 않음이력서, 자기소개서서류전형, 면접전형포트폴리오


접수방법
채용시
접수방법: 인크루트 채용시스템, 이메일접수양식: 인크루트 이력서, 자유양식


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.











"
73,(주)뷰런테크놀로지,빅데이터·AI(인공지능),,경력1년↑,딥러닝," 서울특별시 서초구 강남대로 311 (서초동,한화생명보험빌딩) ","


[Vueron] Application Engineer - 인크루트 채용















(주)뷰런테크놀로지
[Vueron]Application Engineer



모집부문 및 자격요건






모집부문
담당업무
자격요건
인원




FAE

[담당업무]업무내용-    고객 현장의 초기 대응을 통한 전문적인 맞춤 솔루션 제공 (국내외 출장 비중 20~40%)-     제품의 성능 개선 및 이슈 해결을 위한 데이터 분석 및 연구개발팀 커뮤니케이션-   Product 지원 컨텐츠 제작 (기술 문서 및 영상 컨텐츠, 고객 기술 가이드 등)지원자격-   컴퓨터/전자 공학 관련 전공 또는 이에 준하는 교육과정 수료-   관련 업무 1년 이상 경력자-   Software tool (Matlab, Python, MS Office) 등의 툴을 통한 데이터 분석 역량-   기술 문서 작성을 통한 원활한 커뮤니케이션 역량-   운전면허소지자우대사항-   C/C++ 어플리케이션 개발 경험-   전기/전자/네트워크 관련 실무 경험-   LiDAR/TOF Camera 등 영상/비전시스템 관련 프로젝트 경험 [근무부서 및 직급/직책]근무부서: R&D


[자격요건]경력사항: 경력(1년 이상 )학력사항: 대학교(4년)졸업 이상[우대사항]전공계열: 공학계열우대사항: 운전가능자, 석박사

0 명





근무조건
고용형태: 정규직(수습기간3개월)근무부서: R&D급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 시험진행 > 면접진행 > 최종합격추가 제출서류이력서에 연락처 기재제출한 서류는 일체 반환하지 않음이력서, 자기소개서서류전형, 면접전형포트폴리오


접수방법
채용시
접수방법: 인크루트 채용시스템, 이메일접수양식: 인크루트 이력서, 자유양식


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.











"
74,NH투자증권(주),빅데이터·AI(인공지능),,경력2년↑,딥러닝, 서울특별시 영등포구 여의대로 60 (여의도동) ,"


[경력직 채용] 빅데이터센터 Data Scientist - 인크루트 채용













[경력직 채용] 빅데이터센터 Data Scientist
 
 






"
75,(주)크라우드웍스,빅데이터·AI(인공지능),,경력2년↑,딥러닝," 서울특별시 강남구 테헤란로 309 5층 (역삼동,삼성제일빌딩) ","


[크라우드웍스] Frontend Engineer (ML Service) - 인크루트 채용




















"
76,(주)크라우드웍스,빅데이터·AI(인공지능),,경력(연차무관),딥러닝," 서울특별시 강남구 테헤란로 309 5층 (역삼동,삼성제일빌딩) ","


[크라우드웍스] NLP 엔지니어 (상시) - 인크루트 채용




















"
77,휴먼인써치,"데이터베이스·DBA, 빅데이터·AI(인공지능), ERP·시스템분석·설계",,경력7년↑,딥러닝," 경기도 용인시 기흥구 흥덕2로87번길 18 (영덕동,이씨티) B동 4층 409호 ","


[금융대기업계열사] Data Scientist 경력직 채용 - 인크루트 채용
















[금융대기업계열사] Data Scientist 경력직 채용




모집부문 및 자격요건






모집부문
담당업무
자격요건
인원




Data Scientist 경력직
[담당업무]- Data Mining / Machine Learning / Deep Learning 기술을 활용한 그룹사 서비스의 확장과 새로운 가치 발굴- 그룹사의 데이터 관리/활용 프로세스 정립 및 정책 수립 과정 참여- 복잡하고 다양한 대용량 데이터와 비즈니스 상황에 적합한 분석 및 모델링 수행- 데이터로부터 특징 추출 및 모델 학습 등의 파이프라인 설계 및 구축

[자격요건]- 4년제대졸이상- 데이터(비즈니스) 분석 컨설팅 또는 실무 경력이 7년 이상인 분- 데이터에서 유의미한 가설과 인사이트를 뽑아낼 수 있는 분- 분석 결과의 시각화 역량(Tableau, Power BI 등 시각화 도구 및 Python, R 내의 시각화 라이브러리 활용 능력)을 가지고 있는 분- 수리 능력 및 데이터 분석 관련 실무 지식을 보유한 분[우대사항]- 클라우드 환경 활용 기술 및 ML/DL 분석 기술에 친숙한 분- 현황 파악, 문제 정의 및 커뮤니케이션을 통한 데이터 분석 과제 발굴 역량을 가진 분- 통계적 수치에 대한 비즈니스 관점의 해석과 설명 능력을 가진 분- 머신러닝 파이프라인을 구축하고 실제 비즈니스 혹은 서비스에 서빙해본 경험이 있는 분- 통계학, 금융공학, 경영학, 산업공학, 컴퓨터공학, 예측 모델링 관련 석/박사 학위를 소지하셨거나 해당 분야에 대한 경험이 있는 분[전형절차]서류전형/1,2차 면접전형[제출서류]국문이력서/경력기술서/자기소개서 이메일 제출 hjlee@humaninsearch.com******@*******.***[담당자]이혜진이사 ***-****-**** / hjlee@humaninsearch.com******@*******.***

1 명





근무조건
고용형태: 정규직급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
채용시
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.











"
78,피플워크(주),빅데이터·AI(인공지능),,경력5~20년,딥러닝," 서울특별시 강남구 강남대로 310 1901호(역삼동,유니온센터오피스텔) ","


[대기업] AI 엔지니어(4-20년) 0명 채용 - 인크루트 채용













공통 자격요건ㆍ학력 : 대졸 이상 (4년)ㆍ나이/성별 : 무관AI 전략	 0명담당업무ㆍ[대기업] AI 엔지니어(4-20년) 0명 채용1)  AI 기반 기술 개발 및 서비스 적용 경험    - ML/DL 기술에 대한 insight 보유자 선호    - Tool(scikit-learn/Tensorflow 등) 구현 능숙자2) 마켓 및 사용자 중심 사고 : 전략, 서비스디자인3) 전략-상품기획-개발-테스트-출시4) 외부 기관과 협업 (연구/제품개발) 과제 수행 경력지원절차: 첨부한 워드이력서를 작성/ 또는 기존 워드 이력서를alljobs@peoplework.co.kr******@*******.*** 또는 @daum.net로 보내주시기 바랍니다.혹시 불가하시면 주변의 적합한 지인을 소개해 주시면 감사하겠습니다.감사합니다. 광용(Ken) 박 부사장===============================================010-5557-칠삼칠오alljobs@peoplework.co.kr******@*******.*** 또는 @daum.net 서울 강남대로 뱅뱅사거리 유니온센터 11층 5호 ================================================






"
79,파워에이치알,빅데이터·AI(인공지능),,경력1~10년,딥러닝, 서울 강남구 테헤란로78길 14-9 원일 (대치동) ,"


[주요 SI업체] 컴퓨터비전 AI 엔지니어(석사이상) - 인크루트 채용













[포지션] - 컴퓨터비전 AI담당[자격조건]- Data science, AI, 통계학, 수학 등 유관 학과 전공하신 분- python, C/C++ 프로그래밍 언어가 가능하고, Tensorflow, Pytorch 등 다양한 Framework 경험이 있으신 분- Computer Vision과 ML(Machine Learning)/DL(Deep Learning)을 활용한 vision 프로젝트 경험이 있으신 분- 기본 분석 모델(Supervised(Classification, Detection, Segmentation 등)부터 Unsupervised(Clustering)까지)에 대한 경험이 있으신 분- 관련 분야 석사 이상- 다양한 광학계(비전검사용부터 CCTV까지)를 활용한 연구/업무 경험이 있으신 분 우대- 생성형 AI(Generative AI)와 관련된 연구/업무 경험이 있으신 분 (GAN, VAE, Stable Diffusion 등) 우대- AI를 적용하는 프로젝트에서 고객과의 의사소통에 능하고 문서 작성이 우수하신 분 우대[지원서류] - 이력서, 경력기술서, 자기소개서 (MS-Word) sun@powerhr.co.kr******@*******.***로 보내 주시면 됩니다.[근무지]- 서울 강서구[전형절차]- 서류전형 -> 면접[직급 및 연봉]- 현재 및 희망연봉 필히 기재**************************************************************허정운 상무 ***-****-**** sun@powerhr.co.kr******@*******.*** 로 문의바랍니다.**************************************************************






"
80,피플워크(주),"빅데이터·AI(인공지능), 경영·기획·전략",,경력5~10년,딥러닝," 서울특별시 강남구 강남대로 310 1901호(역삼동,유니온센터오피스텔) ","


AI 기술전략 및 신기술 기반의 BM 발굴/기획(4-10년) - 인크루트 채용













AI 전략 0명담당업무AI 전략- AI 기술전략 및 신기술 기반의 BM 발굴/기획(4-10년)■ 업무- AI/빅데이터 기반 서비스 전략 수립- AI 활용 상품/서비스 기획 및 사업모델 개발- 복합 프로젝트(AI/Big Data/Cloud 등)  전략 수립 업무 수행 통합 PM역할■ 지원자격- 학력 : 학사 이상- 직무경험/스펙지원절차: 첨부한 워드이력서를 작성/ 또는 기존 워드 이력서를alljobs@peoplework.co.kr******@*******.*** 또는 @daum.net로 보내주시기 바랍니다.혹시 불가하시면 주변의 적합한 지인을 소개해 주시면 감사하겠습니다.감사합니다. 광용(Ken) 박 부사장=============================================== 010-5557-칠삼칠오  alljobs@peoplework.co.kr******@*******.*** 또는 @daum.net  서울 강남대로 뱅뱅사거리 유니온센터 11층 5호  ================================================지원자격ㆍ경력 : 경력 4년 ~ 10년






"
81,(주)무스마,"ERP·시스템분석·설계, 시스템프로그래머, 응용프로그래머",,경력(연차무관),딥러닝, 부산광역시 수영구 망미번영로52번길 3 (수영동) (주)무스마 ,"


[MUSMA] AI(Edge) 개발자 경력직 채용공고(서울 근무) - 인크루트 채용




















"
82,(주)카이어,"응용프로그래머, 빅데이터·AI(인공지능)",,신입/경력10년미만,딥러닝," 서울특별시 서초구 매헌로8길 39 E동 302호 (양재동,희경빌딩) ","


인공지능 솔루션 (AI Solution) 개발 - 인크루트 채용
















㈜카이어
인공지능 솔루션 (AI Solution) 개발




모집부문 및 자격요건






담당업무
자격요건
인원





[담당업무]• Windows/Web 기반의 Deep Learning Solution Front-end 개발• Windows/Web 기반의 C/C++ Deep Learning Inference Library 개발[근무부서 및 직급/직책]근무부서: 기술연구소직급/직책: 팀원


[자격요건]경력사항: 신입, 경력(10년 이하)학력사항: 대학(2,3년)졸업 이상직무기술: 인공지능 개발자, 인공지능 SW개발자기타: • 2년 이상의 Window (C++/.Net Core) 및 Web. APP 개발 경험• C++ Library 개발 경험• TensorRT Inference (Segmentation, Classification, Object Detection 등) 개발 경험• Python Library 사용 경험 (Numpy, Padas, Pyqt, Pyside 등)• 고객의 기술적 요구사항, 필요 기능, 제품 정보 및 개발 프로세스 등에 대한 요구사항 분석 역량• 논리적으로 문제의 원인을 찾고, 끈기 있게 문제를 끝까지 해결하는 문제해결 역량• 주위 동료와 오픈 마인드로 의사소통하며 문제를 해결할 수 있는 커뮤니케이션 역량• 새로운 지식을 빠르게 습득할 수 있는 학습 역량• 스스로의 업무 Standard 를 높게 설정하고, 자기관리할 수 있는 프로의식 및 책임감우대사항• TensorFlow, PyTorch 개발 경험• 유관 전공 석박사 학위 보유, CUDA 프로그래밍 역량 보유자[우대사항]전공계열: 공학계열

0 명





근무조건
고용형태: 정규직(수습기간3개월)근무부서: 기술연구소급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 2차면접진행 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
상시채용
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.














"
83,온리원파트너스(주),"데이터베이스·DBA, ERP·시스템분석·설계, 빅데이터·AI(인공지능)",,경력5년↑,딥러닝," 서울특별시 성동구 아차산로17길 57 12층, 1201호(성수동2가,일신건영휴먼테코) ","


[유통대기업] Data Scientist(데이터 사이언티스트) 채용 - 인크루트 채용
















온리원파트너스(주)[유통대기업]Data Scientist(데이터 사이언티스트) 채용





모집부문 및 자격요건
담당업무자격요건인원[근무부서 및 채용부문]- 데이터분석팀- Data Scientist(데이터 사이언티스트)[담당업무]- 비즈니스의 요구사항에 맞춘 데이터 분석 설계 및 수행- 데이터 분석 결과 기반 비즈니스 인사이트 도출 및 결과분석- 머신러닝 모델링 (Optimization, Recommendation, Segmentation,   Demand Forecasting, Classification) - 분석결과에 대한 현업커뮤니케이션 및 시각화 
[자격요건]- 경력 : 5년 이상- 직급 : 대리~과장- SQL 필수, R 또는 Python 중 1개 이상의 분석 도구 활용 능력 보유- 비지니스에 대한 문제 인식과 적극적인 문제해결 의지- 통계적 수치에 대한 비즈니스 관점의 해석과 설명 능력- 유관 부서 담당자들과의 활발한 의사소통과 프로젝트 타임라인   관리 능력- Excel, PPT 보고서 작성 상급 수준   (수식, 매크로, 도식화, 시각화 디자인 활용 능력 우수)[우대사항]- 데이터 분석 컨설팅 경력 5년 이상 보유- 통계학, 산업공학, 데이터사이언스 전공자 및 관련 석/박사 학위자   우대- 유통, 제조, 물류업 컨설팅 경력- 예측 모형 개발 경험 보유
0 명





근무조건
고용형태: 정규직급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접전형 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
채용시마감
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
84,(주)에이치엘비파트너스,"데이터베이스·DBA, 빅데이터·AI(인공지능)",,경력4~15년,딥러닝," 서울특별시 강서구 공항대로 219 808호 (마곡동,센테니아빌딩) ","


[국내 물류 대기업] AI 데이터사이언티스트(5~15년 차) 경력자 모집 - 인크루트 채용













국내 물류 대기업에서 AI 데이터사이언티스트(5 ~ 15년 차) 경력자를 모십니다.
 
1. Position : AI 데이터사이언티스트
 
2. 경력연차 및 직급 : 5 ~ 15년 차
 
3. 수행예정업무
 ●     
 AI 분석과제 발굴 및 정의
 ‐      
 유관 부서와 협업을 통한 개선 과제 발굴
 ‐      
 Data 분석을 통한 솔루션 기획
 ●     
 ML/DL 등을 활용한 모델링
 ‐      
 Big Data 수집 및 분석
 ‐      
 최신 AI 관련 기술을 포함한 다양한 ML/DL 알고리즘에
대한 이해를 바탕으로 분석 기획, 모델링, 자동화 등 업무
수행
 ‐      
 Data 셋에 적용 가능한 알고리즘 및 분석 모형 검증
 ‐      
 물류 현장운영 최적화 및 시장동향(수요/물동/운임) 예측 모형 개발, 시각화
 ‐      
 분석 모형 모니터링을 통한 모형 평가 및 개선
 ●     
 분석 모형 배포 및 운영
 ‐      
 현장 업무에 적용한 모형/Data의 성능 모니터링 및 검증
 ‐      
 유관부서 협업을 통한 개선활동
 ‐        AI 과제 관리 및 실행
Playbook의 업데이트를 통한 지식/경험 자산화
 
4. 자격요건 및 우대사항
(필수사항)
 ●       4년제 대졸 이상
 ●       관련 업무 5년 이상 경력 보유자
 ●       Product 또는 알고리즘
개발 기반 문제해결 역량 보유자
 ●       대용량 Data 처리 및 인사이트 추출 위한 통계분석 및 Data 처리 언어(R, Phython, SQL 등) 활용 역량 보유자
 ●       머신러닝, 딥러닝 기술 지식 기반 기업 내/외부의 문제 해결 적용 경험자
 ●       통계적 Data 처리 지식 및 경험 보유자
 ●       다양한 프로젝트 수행 경험자
 
(우대사항)
 ●       물류 및 유통산업 관련 프로젝트 경험 보유자
 ●       PL/PM 등 관리자 역할 수행 경험자
 ●       3rd party 웹서비스 사용
경험자(구글, 페이스북,
Databricks 등)
 ●       Cloud(GCP) 기반의 Data 관리 및 운영 경험자
 ●       Data 아키텍처 디자인 및 개발
경험 보유자(Data pipeline, data mart, data 모델 표준화 등)
 ●       Tableau, SAP BO, MS power BI 기반의 Data 시각화 기술 보유자
 ●       신기술/트렌드 발굴 경험 보유자
 ●       커뮤니케이션 능력 보유자
 ●       비즈니스 영어 가능자
 
5. 전형절차
 ●     
 서류전형 및 1,2차 면접전형
 
6. 제출서류 및 접수방법
 ●     
 국문이력서(경력 및 연봉상세기재) 및 자기소개서
 ●     
 e-mail 접수 : ceo@HLBpartners.com******@*******.***
 
7. 담당 및 연락처
 ●     
 담당 : 한지원 대표
 ●     
 연락처 : 070-7835-0343
 






"
85,(주)아이아이에스티,"응용프로그래머, 빅데이터·AI(인공지능), 소프트웨어·하드웨어",,경력3년미만,딥러닝," 서울특별시 금천구 디지털로10길 78 1004호 (가산동,가산테라타워) ","


인공지능(AI), Python 프로그래머 신입 및  경력  채용 - 인크루트 채용

















우리 회사를 한 줄로 표현해주세요
인공지능 CCTV로 재난과 보안을 하나로..
(주)아이아이에스티
인공지능(AI), Python 프로그래머 신입 및  경력  채용




모집부문 및 자격요건









담당업무
자격요건
인원





[담당업무]GPU가 탑재된 인공지능  CCTV에서 알고리즘 개발 CCTV연동된 서버에서 응용소프트웨어 개발[근무부서 및 직급/직책]직급/직책: 사원, 팀원


[자격요건]경력사항: 경력(0년 이상 3년 이하)학력사항: 학력무관직무기술: 인공지능  AI, 파이썬개발자, CCTV, GPU, 인공지능, 응용소프트웨어 개발기타: 전자. 전기, 정보통신관련 자격증 우대[우대사항]전공계열: 공학계열

0 명





근무조건
고용형태: 정규직인근지하철역: 서울1호선 가산디지털단지 (6번 출구에서 3km이내)급여조건:  협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서포트폴리오


접수방법
상시채용
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
86,(주)한국정보기술단,"빅데이터·AI(인공지능), 데이터베이스·DBA, 응용프로그래머",,경력(연차무관),딥러닝, 경기도 과천시 뒷골2로 66-1 (과천동) ,"


데이터표준품질부문 경력채용 - 인크루트 채용
















(주)한국정보기술단
데이터표준품질부문 경력채용 (정규직)
우리회사의 자랑거리를 #태그로 표현해보세요




모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




데이터

[담당업무]공공기관 데이터 표준 품질 업무(가) 데이터 사업 수행 경력 최소 3년 이상 + PM 수행경험 보유(나) 데이터관리체계 구축 컨설팅, 데이터 표준 수립, 데이터 품질진단, 데이터 개발 등 데이터 관련 사업 유경험자 (다) 빅데이터 분석 및 플랫폼 구축 사업 유경험자, 빅데이터 분석기술 보유자 (R, 파이썬 등)(라) KS_META_DQ 솔루션의 고도화 및 유지관리를 위한 개발인력(마) 데이터 관련 자격증 소지자 우대 (DAP, ADP, 빅데이터분석기사, DQC-V 등)[근무부서 및 직급/직책]근무부서: 데이터사업본부


[자격요건]경력사항: 경력(연차무관)학력사항: 대학교(4년)졸업 이상[우대사항]전공계열: 공학계열, 자연과학계열, 상경계열자격증: ADP, DAP, 빅데이터분석기사, DQC-V우대사항: 해당직무인턴경력자, 인근거주자, 운전가능자

5 명





근무조건
고용형태: 정규직(수습기간3개월)근무부서: 데이터사업본부인근지하철역: 서울7호선 내방 (2번 출구에서 400m이내)급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 1차면접 > 2차면접 > 최종합격


접수방법
채용시마감
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서, 자사양식


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
87,코가로보틱스(주),"빅데이터·AI(인공지능), 소프트웨어·하드웨어",,신입/경력(연차무관),딥러닝," 서울특별시 성동구 왕십리로 222 516호(사근동,한양대학교 에이치아이티)    ","


[기술연구소] 실내자율주행 선행 알고리즘 연구 및 개발자 모집 - 인크루트 채용




















"
88,코가로보틱스(주),"빅데이터·AI(인공지능), 소프트웨어·하드웨어",,신입/경력(연차무관),딥러닝," 서울특별시 성동구 왕십리로 222 516호(사근동,한양대학교 에이치아이티)    ","


[기술개발팀] 자율주행 로봇시스템 개발자 모집 - 인크루트 채용




















"
89,코가로보틱스(주),"빅데이터·AI(인공지능), 소프트웨어·하드웨어",,신입/경력(연차무관),딥러닝," 서울특별시 성동구 왕십리로 222 516호(사근동,한양대학교 에이치아이티)    ","


[기술개발팀] 실내자율주행 알고리즘 개발자 모집 - 인크루트 채용




















"
