,기업이름,고용형태,연봉,기업주소,키워드,담당업무,필요역량
24,오가노이드사이언스(주),경력1년↑,," 경기도 성남시 분당구 판교로 331 5층 오가노이드사이언스(삼평동,아름방송판교사옥) ",드론,약무·제약,"


[판교]오가노이드사이언스 RA 경력 정규직 채용 - 인크루트 채용


















오가노이드사이언스(주)﻿RA 경력 정규직 채용





모집부문 및 자격요건









담당업무
자격요건
인원





[담당업무]-인허가 진행 및 관리-인허가 문서 개발, 검토 및 관리-국내/외 허가 당국 규정 및 가이드라인 파악-인허가 관련 대관 업무[근무부서 및 직급/직책]근무부서: RA팀


[자격요건]학력: 학사 이상전공: 약학, 생명과학 등 관련학과경력: 5년 이상 (senior)        - 바이오의약품 경험        - IND 신청 및 승인 경험[우대사항]- 영어권 대학졸업자 또는 영어 TC 가능 자- 글로벌 인허가 경력자

0 명





근무조건
고용형태: 정규직(수습기간3개월)근무부서: RA팀급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 2차면접진행 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
채용시
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
25,(주)스타리치어드바이져,신입/경력(연차무관),," 서울특별시 강남구 강남대로62길 3 5층 (역삼동,한진빌딩) ",드론,"일반·법인영업, 금융·보험영업, 임원·경영분석·컨설팅","


법인영업, 경영컨설팅외 신입/경력 위촉직 채용 - 인크루트 채용

















(주)스타리치어드바이져
법인컨설팅전문가 경력 위촉직 채용공고



모집부문 및 자격요건






담당업무
자격요건
인원





[근무부서 및 직급/직책]근무부서: 법인영업팀


[자격요건]경력사항: 신입, 경력(연차무관)학력사항: 학력무관기타: 법인컨설팅 경력자 우대보험회사 경력자 우대

00 명





근무조건
고용형태: 위촉직(근무기간 협의 후 결정)근무부서: 법인영업팀인근전철역: 서울2호선 강남 (3번 출구에서 400m이내)급여조건: 건별 회사내규


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서에 연락처, 희망연봉 기재제출한 서류는 일체 반환하지 않음이력서, 자기소개서서류전형, 면접전형


접수방법
상시채용
접수방법: 인크루트 채용시스템, 전화/휴대폰접수양식: 인크루트 이력서, 자유양식


  스타리치어드바이져의 차별성1) 양질의DB 제공  매주 2~3건 이상의 양질의 DB를 무료로 제공 (계약체결 후 쉐어 시스템) 받음으로써 지인영업의 한계를 탈피할 수 있습니다.2) 수준 높은 교육시스템 -체계적인 본사 신입교육 프로그램                                                                                      -매주 세무사, 법인영업 각 분야 전문가 특강                                                                          -매주 FA간 스터디를 통해 빠르게 변화하는 법인영업 시장 정보 공유                                      -매주 법인영업 선배들의 신입교육                                                                                       -비 정기적으로 특정 이슈에 대한 토요 특강 ​3) 체계적인 인센티브 제도4) 회사가 보유한 다양한 컨텐츠로 법인영업 효율 극대화~기업가정신 콘서트(한국경제TV방영) 격월로 CEO 약200여분을 고급호텔로 초청하여 인문학강의 및 정보교류의 기회제공. 모든 비용은 회사가 부담하며 현재 진대제 전 정통부장관의 사회로 행사를 진행함 ~ 한국경제TV 프로그램 “기업가정신을 말한다.”우수기업 소개프로그램으로, 기업홍보 동영상으로 업체의 마케팅 툴로 활용케 함으로써 법인영업의 강력한 무기가 될 수 있습니다.    ~ 경정청구 전문 세무그룹 “기업권익평가원”과의 제휴  법인세 신고 시 누락된 여러가지 조세특례제한법상의 감면,공제혜택을 경정청구제도를 통해 세금을 돌려받게 함으로써  치열해지는 법인시장에서 CEO들에게 다가설 수 있는 강력한 무기장착~ 국내 유명 아트갤러리와 제휴   미술시장지원을목적으로하는여러세제혜택을활용하여비용처리를통화절세의효과도누리고향후유망한투자처인미술품시장을소개함으로써법인영업시장에서차별화  ~스타리치북스출판사  중소기업 대표님들의 전문분야 노하우, 자서전, 경영철학서 등을 출간   ~ VIP고객 초청 골프행사 및 CEO골프최고위과정~ CEO초청 해외탐방 프로그램~사단법인 글로벌기업가정신협회중소기업 대표님들을 위한 비영리단체 설립운영(주)스타리치어드바이져     서울 강남구 강남대로62길 3서울본부 박상헌지점장***-****-****
   	












"
26,에디션M,신입/경력(연차무관),,서울특별시 종로구 대학로11길 17-2 (명륜4가) 1층   ,드론,요리·조리·제과·제빵,"


제과·제빵사, 양식조리사 신입/경력  채용 - 인크루트 채용













에디션 M (Myeongnyun﻿)제과·제빵사, 양식조리사 신입/경력  채용  (주)메종 드 피폴라  프로젝트의 시작  신상 대형  한옥 카페로 오픈 후 일주일만에 대학로 핫풀로 등극한 비전있는 일터에서 파티셰을 모십니다.

모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




제과제빵사 파티셰

[담당업무]카페 디저트 생산과 레시피 작업전반적인 베이킹 관련 업무와 교육 발주 및 신메뉴 개발 관련 업무입니다.


[자격요건]경력사항: 신입, 경력(연차무관)학력사항:        관련학과 졸업 자격증 소지직무기술: 제과제빵사, 파티시에       아이싱 가능하신 분       관련 포트폴리오 제출 우대      

0 명





근무조건
고용형태: 정규직(수습기간1개월), 계약직(근무기간 협의 후 결정), 알바(근무기간 협의 후 결정)알바 근무시간근무요일: 협의근무시간: 협의급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서포트폴리오


접수방법
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
27,네오타이드코리아,신입/경력(연차무관),," 서울 금천구 금하로 763 205호- (시흥동,벽산중심상가)   ",드론,"웹디자인, 광고·CG·시각디자인","


웹디자인, 시각디자인 신입/경력 정규직, 계약직 채용 - 인크루트 채용
















네오타이드코리아
국내외 온라인 판매페이지 디자이너 채용



모집부문 및 자격요건






담당업무
자격요건
인원





[담당업무]▷ 국내외 판매플랫폼 내상품 판매페이지 디자인 - 상품 상세페이지 제작- 상품리스팅- 상품리스트 관리- 프로모션 홍보 이미지 제작 및 관리 (배너, SNS 광고이미지 등)[근무부서 및 직급/직책]근무부서: 디자인팀직급/직책: 팀원, 사원


[자격요건]경력사항: 신입, 경력(연차무관)학력사항: 고등학교졸업 이상직무기술: 광고디자인, 웹디자인, 웹디자이너, 디자인팀, 판매팀

0 명(상시채용)





근무조건
고용형태: 정규직(수습기간3개월), 계약직(근무기간 1년, 수습기간 3개월)근무부서: 디자인팀급여조건: 월급 협의 후 결정 ( 월 230만원~250만원이상)


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서포트폴리오 (*선택사항)


접수방법
상시채용
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.














"
28,산수음료(주),경력10년↑,,(137-130) 서울 서초구 양재동 강남대로 30길66 산수빌딩 7층 산수빌딩 ,드론,마케팅,"


BX팀 브랜드마케터(경력/부장급) - 인크루트 채용













산수음료(주)BX팀 브랜드마케터(경력/부장급)우리 회사를 한 줄로 표현해주세요먹는 샘물 전문 제조기업인 산수음료(주)는 1984년 설립 이후 자연 그대로의 순수한 물과자연의 가치를 제품에 담아, 소중한 자연을 살리는 일에 앞장서고 있습니다. 2020년 친환경 전략을 강화하기 위해 통합 브랜드 i'meco를 론칭했으며 생수 판매 외에도 친환경 서비스를 론칭하여 지속 가능한 사회를 만들기 위해 다양한 실천을 이어가고 있습니다. BX(Brand eXperience)팀은 아임에코의 제품, 서비스, 마케팅 등 브랜드를 마주하는 모든 영역에서 소비자와 고객사에게 일관된 경험을 전달할 수 있는 다채로운 업무를 진행하고 있습니다. 친환경 브랜드 아임에코 BX팀의 팀원이 되어 주실 분들의 많은 관심과 지원 부탁드립니다.

모집부문 및 자격요건









담당업무
자격요건
인원




ㆍIMC 기반의 통합 마케팅ㆍ데이터 분석을 통한 마케팅 전략 수립ㆍSales 프로모션 기획(B2B)ㆍ페스티벌 스폰서십, 제휴 마케팅ㆍ브랜디드콘텐츠 기획ㆍ보도자료 작성ㆍ다회용기 서비스 운영ㆍ에이전시 운영관리

[스킬]ㆍMicrosoft Office[자격요건]ㆍ학력 : 대졸이상ㆍ경력 : 10 ~ 15년ㆍ제안서 작성 가능하신분(MS OFFICE)ㆍ브랜드, 마케팅, 트렌드 변화에 관심 많은 분ㆍ열정적인 마인드와 창의적인 아이디어 소유자ㆍ 포트폴리오 제출 필수ㆍ 자기소개서 내 지원동기 작성 필수ㆍ 유연한 사고의 커뮤니케이션 스킬 및 태도우수자ㆍ 남자의 경우 병역 또는 면제자ㆍ 해외여행에 결격사유가 없는 자[인재상]ㆍ자기주도적 성장에 대한 열정이 있으신 분ㆍ창의적이고 도전적이신 분ㆍ자연과 환경보호에 관심이 있으신 분[제출서류]ㆍ이력서, 자기소개서, 포트폴리오ㆍ졸업증명서, 최종 학교 성적증명서, 공인시험 및 기타 자격증 사본(소지자에 한함)※ 유의사항 : 입사 지원 서류에 허위 사실이 발견될 경우, 채용 확정 이후라도 채용이 취소될 수 있습니다.[우대조건]ㆍF&B 관련 경력자ㆍ유관 업무 경험자
1 명





근무조건
고용 형태 : 정규직(수습 3개월)근무 지역 : 서울 서초구근무 요일/시간 : 주5일(월~금) | 08:30 ~ 17:30


복지 및 혜택취미/레저활동 지원 : 동호회별 활동비 100만원 한도 지원생일축하 선물 : 5만원 상당의 상품권 지급근로자의 날 : 근로자의 날 휴무샌드위치 연차 : 징검다리 휴일, 연휴 다음/전달 연차 차감하여 직원의 휴식 보장경조 및 장례용품 지원 : 경조사비 내규에 따라 지원연차, 반차, 휴가제도 운영 : 이유를 묻지않는 자유로운 연차 사용명절선물 제공 : 명절 및 근로자의 날 선물 제공콘도. 리조트 이용권 : 콘도, 리조트 이용 가능전형단계
서류전형 > 1차 실무진 면접 > 2차 임원 면접 > 최종합격면접일정은 추후 통보됩니다.


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
29,오가노이드사이언스(주),경력1년↑,," 경기도 성남시 분당구 판교로 331 5층 오가노이드사이언스(삼평동,아름방송판교사옥) ",드론,약무·제약,"


[판교]오가노이드사이언스 CRA 경력 정규직 채용 - 인크루트 채용

















오가노이드사이언스(주)
CRA 경력 정규직 채용




모집부문 및 자격요건









담당업무
자격요건
인원





[담당업무]-임상시험 계획 수립 및 수행-임상시험 일정 및 예산 관리-연구자 선정 및 임상시험실시 기관 관리-CRO 및 Vendor 선정 및 관리-실사 및 점검 관리-SOP 개발/개정/관리


[자격요건]경력사항: 경력(1년 이상 )               - 바이오의약품 개발 경험               - 허가용 임상시험 경험자               - 임상시험 1상 경험자학력사항: 대학교(4년)졸업 이상직무기술: 임상, 임상시험, 임상병리사, 생명과학[우대사항]전공계열: 약학, 간호학, 생물학, 임상병리학 등 관련 학과

0 명





근무조건
고용형태: 정규직(수습기간3개월)근무부서: 임상팀급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 1차면접진행 > 2차면접진행 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
채용시
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
30,(주)봄날,경력1년↑,"2,500~3,000"," 서울특별시 금천구 가산디지털2로 70 (가산동,대륭테크노타운19차) ",드론,"방송제작·연출·촬영·기자, 작가·문화·예술·창작","


연출(PD), VR · AR 감독(연출자, PD) 경력 정규직 채용 - 인크루트 채용
















(주)스튜디오에스오아이
연출(PD), VR · AR 감독(연출자, PD) 경력 정규직 채용



모집부문 및 자격요건






담당업무
자격요건
인원





[담당업무]광고, 라이브커머스, 홍보영상 관련 기획, 촬영, 가편 하실 수 있는 PD분 모집합니다. [근무부서 및 직급/직책]근무부서: 영상제작팀직급/직책: 사원


[자격요건]경력사항: 경력(1년 이상 )학력사항: 고등학교졸업 이상직무기술: 촬영, 편집PD, 기획, 촬영PD, 영상PD, 광고PD, 제작PD[우대사항]우대사항: 차량소지자, 운전가능자

1 명





근무조건
고용형태: 정규직(수습기간3개월)근무부서: 영상제작팀급여조건: 연봉 2500 ~ 3000 만원


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서  - 사진, 연락처 필히 기재! 드론 자격증 소지, 촬영도 가능하신분이면 좋겠습니다.


접수방법
상시채용
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서, 자유양식


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.














"
31,휴머니스트,신입/경력(연차무관),, 서울특별시 송파구 송파대로 366-9 (송파동) 4층 (주)휴머니스트 ,드론,"판매, 매장관리","


[연2948만(챌린지보너스포함)] 자라(ZARA Retail Korea) 전국 매장 판매사원 채용(신입가능) - 인크루트 채용
















 

[채용대행_본사소속]
INDITEX KOREA 대규모 채용

Inditex Group은 세계 최대 Fashion 유통업체들 중 가장 높은 성장을 보이고 있는
스페인 소재 기업으로서 88개국에 7천개 가까운 점포를 개발 운영하고 있는 기업입니다.
ZARA Retail Korea는 2006년 10월 법인 설립 이래 2008년 4월 29일 영플라자와 코엑스에
동시에 첫 런칭 후, 성공적으로 운영해오고 있으며 2011년 8월 Bershka, Stradivarius,
Pull and Bear를 한국에 처음으로 상륙시킨 패션회사입니다.
그리고 2014년 12월 ZARA Home(자라홈) 오픈을 하였으며 전국적으로 지속적인 매장
확대를 진행하고 있습니다. 또한 2015년 하반기 Oysho(오이쇼)를 오픈하였습니다.

 
1. 모집부문



브 랜 드 명
모 집 부 문
담 당 업 무
지 원 자 격




- ZARA
			- Massimo Dutti
			- ZARA Home
			- OYSHO
SA
			(Sales Assistant)
- 매장 내 상품진열
			- 고객 응대 및 공간 정리
			- 재고 관리 및 피팅룸 정리
			- 제품 보관 및 손질
- 고졸 이상, 성별무관 (신입가능)
			- 남성은 군필자 혹은 면제자
			- 패션에 관심이 많은 분
			- 서비스 마인드 소유자


CA
			(Cashier)
- 현금 자금관리 및 분실방지
			- 환불금, 환수금 확인


SACA
			(Sales Assistant
			&Cashier)
- 매장 내 상품진열
			- 고객 응대 및 공간 정리
			- 재고 관리 및 피팅룸 정리
			- 제품 보관 및 손질
			- 현금 자금관리 및 분실방지
			- 환불금, 환수금 확인


Assistant
			Manager
- 일간/주간/월간 직원 스케쥴 관리
			- 매장 관리 및 재고 관리
			- 매장직원 인사업무 관리 및 교육
			- 매출 판매분석 및 상품 발주
			- 고객 컴플레인 해결
- 성별 무관
			- 영어회화 가능자
- (원활한 커뮤니케이션 가능)
			- 최소 3년 이상 매니저 경력자
			- 직원 트레이닝 및 직원 관리 경험자


Operation
			Assistant
- 물류창고 관리 및 재고파악
			- 재고관리 및 상품 적재
			- 상품재고와 관련된 수치분석
			- Floor와 stock간의 상품흐름 담당
			- 고객의 상품문의 응대
			- 전반적인 매장의 상품 운용/배치/오더
- 체력에 자신있으신 분
			- 커뮤니케이션, 협동심,
- 재고관리 능력에 탁월한 분
			- 패션에 관심이 많고 감각 보유자
			- 숫자감각 보유한 분



 
2. 근무조건



근 무 시 간
- 주 5일(주말 포함), 일일 8시간 근무
			- 총3~4개의 Shift로 스케줄 근무 (고정 및 선택 불가/ 상황에 따른 스케줄 변경됨.)


급 여 조 건
- 회사 내규에 따름 (패션 업계 최고 수준)
			- 매장 매출 기여도에 따른 커미션 지급(근무한 날의 매출 및 본인 근무일수에 따라 변동)
			- 승진/진급시 급여 인상


소 속 기 관
- Inditex Group 자라 리테일 코리아 소속


복리후생
- 4대 보험, 퇴직금, 유니폼 지급, 직원 할인카드(입사후 3개월 이후 발급) 등



 
3. 모집지점



지 역
매 장




서 울
명동 : 눈스퀘어점
			삼성 : 코엑스몰점
			서초 : 강남점
			신사 : 가로수길점
			잠실 : 월드타워점
			영등포 : 롯데 영등포점 | 타임스퀘어점
			용산 : 아이파크몰점
			서울역 : 서울역점
			노원 : 롯데 노원점
			여의도 : IFC몰(리뉴얼 중 5월 오픈 예정)
			신도림 : 디큐브시티
			김포공항 : 스카이파크점
			하남 : 스타필드점


일 산
대화동 : 원마운트점
			동산동 : 고양스타필드점


부 천
중동 : 롯데 중동점


인 천 
동춘동 : 스퀘어원점
			송도 : 트리플스트리트몰


분 당
서현동 : 서현점


용 인
성복동 : 롯데몰 수지점


수 원
서둔동 : 롯데몰 수원점


안 성
공도읍 : 안성 스타필드


청 주
복대동 : 지웰시티몰2점


울 산
삼산동 : 롯데 울산점


창 원
상남동 : 롯데 창원점


부 산
우동 : 센텀시티점
			부전동 : 로드샵 서면
			장전동 : 부산대점
			중앙동 : 롯데 광복점


광 주
충장로 : 충장로점


대 구
봉무동 : 롯데아울렛 이시아폴리스(봉무점)
			동성로 : 동성로점


대 전
둔산동 : 갤러리아 타임월드점



 
4. 지원방법

제 출 서 류 : Inditex Group 입사지원서 [다운로드] 접수 또는, 채용사이트 내 이력서
제 출 방 법 : Inditex Group 입사지원서 작성 후, 파일을 첨부하여
제 출 방 법 : recruit@humanest.co.kr******@*******.***로 이메일 발송, 제출 또는, 온라인 입사 지원


입사지원서 다운로드

 
5. 전형절차

서류접수 → 1차 면접 → 최종 면접(자라 리테일 코리아 본사)

 
6. 지원문의

전화문의 : ***-****-****
이메일 문의 : recruit@humanest.co.kr******@*******.***








"
32,(주)프리뉴,경력1년↑,," 경기도 안산시 단원구 산단로 325 (신길동,리드 스마트스퀘어 지식산업센터) F-501호 ~ 503호 ",드론,"연구원·연구개발, 원자력·우주·조선·철강","


(주)프리뉴 무인항공기 설계 경력직 채용 - 인크루트 채용


















(주) 프리뉴 기업부설연구소 무인항공기 설계 경력직 채용





모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




                    무인항공기 설계

[담당업무]- 기구 설계, 멀티콥터 설계, 지상상비 설계[근무부서 및 직급/직책]근무부서: 기업부설연구소 


[자격요건]-필수사항- 경력사항: 경력 1년 이상- 가공품 및 기구품 설계 2~3년차 이상- 기계 도면 해독 및 작성 능력- Auto CAD, UG NX, Solidworks-기계공학, 자동차공학, 항공우주공학[우대사항]- 드론 관련 경험- Ansys 해석(구조 해석)- 일반기계기사- 기초 전기 & 전자적 지식

0 명





근무조건
고용형태: 정규직(수습기간3개월)근무지역: (15426) 경기 안산시 단원구 산단로 325 리드 스마트스퀘어 지식산업센터 513, 514호(신길동) 급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 2차면접진행 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
채용시
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
33,(주)프리뉴,경력3~10년,," 경기도 안산시 단원구 산단로 325 (신길동,리드 스마트스퀘어 지식산업센터) F-501호 ~ 503호 ",드론,"연구원·연구개발, IT·문화·직업강사","


[(주)프리뉴] 기업부설연구소 SW개발 신입/경력직 채용 - 인크루트 채용


















(주) 프리뉴 기업부설연구소 SW개발 신입/경력직 채용





모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




                    SW개발

[담당업무]- 드론관제 솔루션의 Application S/W 개발   - 드론의 임무장치 제어 기능 개발[근무부서 및 직급/직책]근무부서: 기업부설연구소 


[자격요건]- C/C++,C#, Java 개발 언어 중 하나 이상 경험자- 컴퓨터공학 관련 전공자- 윈도우 프로그램 개발 경험자(3년내)[우대사항]- Winform, WPF, MFC 등 윈도우프로그램 개발 경험자- Qt, PyQt 개발 경험자- 드론 관제 S/W 관련 개발경험- Open Source Project 사용/기여 경험자- 새로운 개발언어 및 기술습득에 두려움이 없으신 분- 무인드론/UAV 개발 관련 관심자

0 명





근무조건
고용형태: 정규직(수습기간3개월)근무지역: (15426) 경기 안산시 단원구 산단로 325 리드 스마트스퀘어 지식산업센터 513, 514호(신길동) 급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 2차면접진행 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
채용시
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
34,(주)자이드물류,신입,"3,000~3,500","인천광역시 서구 청라루비로 93 309호 (청라동,루비타워)   ",드론,운송·물류,"


(수습 후 재택근무) 화물 배차 신입  채용 - 인크루트 채용
















우리 회사를 한 줄로 표현해주세요
(주)자이드물류
(수습 후 재택근무) 화물 배차 신입  채용





모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




배차담당

[담당업무]크게 화주(화물 주인)과 차주(차량 주인)를 연결하는 작업을 합니다. 화주로부터의 운송 요청이 접수되면 화물 배차 어플을 활용하여 적절한 차주를 찾아 둘 간의 연결을 성사시킵니다.중간중간 문제가 발생하면 화주-차주 사이에서 조율해야 합니다.[근무부서 및 직급/직책]직급/직책: 사원, 팀원


[자격요건]경력사항: 신입학력사항: 학력무관

2 명





근무조건
고용형태: 정규직(수습기간3개월)급여조건: 연봉 3,000 ~ 3,500 만원


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서직무적성검사결과


접수방법
2024-01-31 (일) 23시59분까지
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


 근무 시간 사전 안내  (주간) 일요일부터 목요일까지 주 5일, 새벽 5시 ~ 오후 3시 근무 (야간) 화요일부터 토요일까지 주 5일 오후 3시 ~ 새벽 1시 근무근무 시간은 분기별로 근무자 간에 변경될 수 있습니다.  수습 안내  수습 기간 중에는 '경기도 김포시 김포한강10로133번길 107, 디원시티시그니처 지식산업센터 B동 619호'로 출근이 필요하며, 수습 완료 이후에는 재택 근무로 전환됩니다. 수습 기간 중에는 수요일부터 일요일까지 아침 8시에 출근하여 오후 3시에 퇴근할 예정입니다. 00










"
35,(주)지알엔,신입/경력(연차무관),,"서울특별시 성동구 왕십리로 58 2층 215호 (성수동1가,포휴) ",드론,"멀티미디어(동영상·음향), 작가·문화·예술·창작, 방송제작·연출·촬영·기자","


2024년도 (주)지알엔(지무비) 직원 채용공고 - 인크루트 채용
















우리 회사를 한 줄로 표현해주세요
우리 회사에 대해 4줄 이내로 소개해주세요

2024년도 (주)지알엔(지무비) 직원 채용공고㈜지알엔(GRN)은 유튜브 지무비, 숏뭅 콘텐츠 제작 및 채널 운영사업을 하고 있습니다.모집부문 및 주요 업무









모집부문
담당업무
자격요건
인원




영상기획편집자

[주요업무]- 지무비 모든 업무 보조 & 공동 작업 / 부채널 영상 컨텐츠 제작  (시작은 부채널 영상 제작 업무 위주, 지무비 자막 작업 등의 보조 업무로 시작되며,   추후 본인의 역량에 따라 지무비 영상 제작 업무를 맡을 수도 있습니다)- 기획 및 구성, 영상 편집, 사무 업무 등- 유튜브 운영을 위해 수행하는 대부분 업무를 함께 분담합니다.   단, 본인의 스타일과 역량에 따라 업무의 성격은 조정해 갈 예정입니다.   (G리는 시리즈, 영화 리뷰 등)


[자격요건]경력사항: 신입, 경력(연차무관)학력사항: 학력무관직무기술 : Premiere Pro CC세부사항 : 하단 자격 요건 참고

0 명

 작가  [주요업무]- 지무비 채널 컨텐츠 관련 대본 초안 작업  (주로 G리는 시리즈 자료 조사 및 대본 초안 작성을 진행할 예정입니다.)   [자격요건]경력사항: 신입, 경력(연차무관)학력사항: 학력무관세부사항 : 하단 자격 요건 참고 0 명



자격요건  - 20세 이상 성인, 남자는 병역필 또는 면제자, 학생은 기졸업자 및 졸업예정자  - 자료수집과 아이디어 기획, 글 구성 능력이 뛰어난 분  - Premiere Pro CC 사용이 가능한 분    (작가로 지원하실 경우 무관하나 추후 기본적인 배치 작업정도는 배우셔야 할 수 있습니다.)   - 평소 영화, 드라마 그리고 유튜브 컨텐츠를 즐겨보시며 유튜브에 대한 이해도가 있는 분  - 서울(서울 숲 역 도보 30초) 출퇴근 가능한 분  - 업무 특성상 지속적인 피드백과 수정 작업이 요구됩니다.이를 받아들이고 함께 성장하는데 긍정적인 분과 함께 하고 싶습니다.우대사항 (우대사항일 뿐, 필수는 아닙니다.)   - 평소 지무비 채널을 즐겨보고 편집 스타일을 잘 아는 분   - 콘텐츠 기획 및 구성 업무 경험이 있는 분(해당하는 분은 포트폴리오 제출 필수)   - 유머 감각과 센스가 뛰어난 분   - 기타 영화 매거진이나 영화 관련 산업 경력자   - 영화, 드라마에 대한 관심과 애정이 충만한 분   - 영어 사이트에서 정보 수집이 가능한 분근무조건 및 근무 환경
영상 기획 편집자 : 수습 기간 후(계약직 3개월 근무) 정규직 전환 심사.작가 : 프리랜서로 겸직 가능합니다.(건당 지급으로 진행하며 시스템상 가능 여부 체크 후 정규직 제안이 들어갈 수 있습니다.                                                                                          물론 작가 분이 거절한다면 기존 프리랜서 형태로 계속 진행 가능합니다.)근무 요일 : 주 5일근무 형태 : 출근제로 운영되며, 필요 시 재택 근무 (근무지 : 서울숲 역 도보 30초)* 프리랜서 작가는 재택으로 진행됩니다.탄력 근무제 적용 : 오전 7시~오전 11시 사이 자율 출근하여 8시간 근무 후 자율 퇴근합니다.야근은 지양하며, 마감 일정이 임박하지 않은 이상 칼퇴근을 지향합니다.*야근 시 초과 근무 수당, 기본급 시급의 150% 지급합니다.연차, 사대보험, 명절 선물, 자율 복장, 경조금, 생일 포상 등회식은 거의 하지 않지만, 진행 시 일과 시간 내 시작하며 퇴근 시간에 종료됩니다.급여   - 영상 편집 기획자 : 기본급 + 인센티브 매달 별도 지급(세부 사항 : 해당 링크(https://bit.ly/34JPoxO)에서 확인해 주시기 바랍니다.)   - 프리랜서 작가 : 건당 페이 지급+ 조회수 기반 성과급 지급


전형절차
영상 편집 기획자 : 서류전형 > 실무과제(비용 지급) > 면접전형 > 최종합격프리랜서 작가 : 서류전형 > 면접전형 > 최종합격상기 모든 일정은 2월 16일 이전 완료됩니다. 첫 출근은 2월 19일을 목표로 하고 있습니다.*프리랜서 작가는 재택 근무입니다.접수 기간 및 방법   - 접수 기간 : 2024년 1월 16일(화) 18:00 ~ 2024년 2월 4일(일) 24:00 까지   - 접수 방법 : 해당 링크(https://bit.ly/34JPoxO)에 접속하여  서류 전형 양식 기재 후 제출

기타 유의사항

※ 서류전형 결과 발표 서류전형 합격자에 한해 개별 연락 & 실무 과제 부여 (이메일+문자 발송 예정) 00










"
