기업이름,담당업무,연봉,고용형태,키워드,기업주소,필요역량
(주)고영테크놀러지,"응용프로그래머, 웹프로그래머, 빅데이터·AI(인공지능), 전자·반도체, 기계·금속·재료",,경력3년↑,로봇제어,서울 금천구 가산동   한라시그마밸리 15층    ,"


Robotics 전문가 - 인크루트 채용













""SMT 공정용 검사장비 세계 1위 기업"" 고영테크놀러지는 세계 수준의 Mechatronics 기술을 바탕으로 2002년 4월 설립하여현재 Machine Vision 기술, 지능형 시스템 Software 기술, 정밀 기계 설계 기술을조화롭게 구사하는 기업으로 세계적인 위치에 올라 있습니다.SMT 검사기 시장에서의 사업을 기반으로 반도체 검사장비, 의료로봇, 정밀기계가공 검사장비 등 다양한 영역에서 새로운 사업을 수행하고 있습니다.고영테크놀러지와 함께 실패를 두려워하지 않고 끊임없이 도전하고 성장할혁신적이고(INNOVATION), 함께 일하며(TEAMWORK), 전문성(PROFESSIONALISM)을갖춘 인재분들의 많은 지원 부탁드리겠습니다.[주요업무]- 로봇 제어 알고리즘 개발 (전류기반 힘/순응 제어)- C++, Python 기반 로봇제어 및 제어 Framework 개발 [자격요건]- 경력 3년 이상- 제어 SW (C++, Python 등) 숙련자- ROS(Robot Operating System) 기반 개발 경험 유경험자- 협동로봇 개발 경험자[전형절차]- 서류전형 >>> 온라인 인적성 검사 >>> 직무면접(PT면접) >>> 최종면접 >>> 채용검진 >>> 입사[입사지원서]* 자유 양식 이력서 제출 가능 (면접 전형 전 자사양식 이력서 작성 필수)* 모든 파일은 PDF 형식으로 변환 후 제출*입사지원서 양식 내려받기






"
현대자동차(주),"전자·반도체, 소프트웨어·하드웨어, 시스템프로그래머",,경력(연차무관),로봇제어, 서울특별시 서초구 헌릉로 12 (양재동) ,"


Robotics Engineer [모터 드라이버 회로 & 펌웨어 개발] - 인크루트 채용













조직소개자동차 분야는 점차 자동화, 로봇화되고 있습니다. 자동차 기술이 과거 어느때와 비교할 수 없을만큼 로보틱스 기술과 유사성을 보이고 있는 지금, 로보틱스랩은 사람을 위하는 기술이라는 철학하에 연구개발에 힘쓰고 있습니다.내재화된 로보틱스 기술을 바탕으로 다양한 분야의 전문가들이 하나의 팀을 이루어 로봇 제품을 개발하고 있으며, 사람과 함께 할 수 있는, 자체 개발을 통해 차별화된, 나아가 로봇이 존재하는 공간에서의 모든 서비스를 제공하는 로봇으로 확장 가능한 기술을 지향하고 있습니다.그중 우리 조직은 의료용/산업용 착용 로봇 및 관절형 로봇에 관련한 제어와 설계 연구를 주 업무로 수행하고 있습니다. 선행 연구에서부터 양산화까지 넓은 범위의 일들을 수행할 수 있어 로봇 전문가로 성장할 수 있는 기회를 제공합니다.우리 로보틱스랩에서는 새로운 모빌리티를 함께 만들어 나갈 여러분의 지원을 기대하고 있습니다.• 긍정적인 마음을 가지고 새로운 도전을 즐기는 분• 다양한 분야의 사람들과 즐겁게 의사소통하며 협업할 수 있는 분• 맡은 업무에 대해서 책임감을 가지고 임할 수 있는 분직무상세- BLDC 모터 드라이버(제어/인버터) 회로 설계- FOC 기반 모터 드라이버 펌웨어 설계- 실시간 제어 통신 개발(EtherCAT, CANopen)- MCU 기반 embeded system 개발[모터 드라이버 회로 개발]- 고 전류(30A급) 소형 BLDC 모터 드라이버 인버터 회로 설계- MCU 주변 회로 및 Switching Regulator 회로 설계- 디지털 & 아날로그 혼용 회로 및 배선 설계- EMC/EMI 인증을 위한 전원 노이즈 및 FET 스위칭 노이즈 저감 설계[모터 드라이버 펌웨어 개발]- FOC 기반 BLDC 모터 토크 제어 알고리즘 개발(Sensored)- 모터 초기 구동을 위한 automatic phase detection 기법 개발- MCU peripheral dirver 구현 및 인터럽트 타이밍 제어- 실시간 통신을 위한 EtherCAT CoE CiA402, CANopen CiA402 구현지원자격•전기전자 공학 / 제어계측 공학 / 전력전자 공학 전공하신 분•인버터 HW 및 FW 개발 경험 보유하신 분•C/C++, PADS, OrCAD 활용 가능하신 분·최종합격 후, 회사가 지정하는 입사일에 입사 가능하신 분· 해외여행에 결격 사유가 없는 분 (남성의 경우, 회사가 지정한 입사일까지 병역을 마쳤거나 면제되신 분)우대사항•인버터 회로 설계 / FOC FW 설계 경험 보유하신 분•버전관리툴(Git, Mercurial 등), SW 인증 경험(정적/동적 분석 등) 보유하신 분전형단계1. 서류전형2. Pre-Interview3. 직무면접4. 종합면접5. 채용검진6. 입사기타[기타 유의사항]· 지원서를 포함하여 채용 전형 진행 중 모든 과정에서 제출한 내용이 사실과 다르거나 문서로 증빙이 불가할 경우 합격이 취소되거나 전형상의 불이익을 받을 수 있습니다.· 최종 합격 후, 회사가 지정하는 입사일에 입사 불가할 경우 합격이 취소되거나 전형상의 불이익을 받을 수 있습니다.· 해외여행에 결격 사유가 있는 분(남성의 경우, 회사가 지정한 입사일까지 병역 미필 또는 병역 면제되지 않은 분 포함)은 합격이 취소되거나 전형상 불이익을 받을 수 있습니다.· 회사 내규상 정상근무가 불가능할 경우 합격이 취소되거나 전형상의 불이익을 받을 수 있습니다.· 채용 전형 진행에 따라 일정이 조정될 수 있는 점 유의 바랍니다.[지원자 참고사항]· 취업보호대상자(장애,보훈 등)는 관계 법령에 의거하여 우대합니다.· 지원서 접수 마감일에는 지원자가 대거 몰려 입사지원이 어려울 수 있으니, 여유있게 미리 제출하시기를 권장합니다.· 지원서 접수는 현대자동차 채용 홈페이지를 통해 접수하며, 그 외의 개별 접수는 받지 않습니다.· 공고 내 직급 수준은 예상 직급으로 변동 가능성이 있으며, 개인별 경력 및 평가를 고려하여 처우협의 과정을 통하여 최종 확정됩니다.· 채용 관련 문의는 채용 홈페이지 內 [FAQs] 메뉴를 확인하시거나 '1:1 문의하기'를 이용바랍니다.






"
(주)피플스카우트,기계·금속·재료,,경력5~15년,로봇제어, 서울특별시 마포구 삼개로 16 근신빌딩 2신관 501호 (도화동) ,"


[반도체용 로봇 제조사]자동화 장비 기계설계 /대리-차장급 - 인크루트 채용













◈ 추천회사 소개- 국내 유명 반도체용 로봇 및 로봇 응용장비 개발 전문회사* 연 매출액: 500억원 / 사원수: 70명 ◈ 포지션- [반도체용 로봇 제조사]자동화 장비 기계설계/대리-차장급/2명 ◈ 담당 업무:- 자동화 장비 기계설계 - 반도체 장비용 로봇설계
- 반도체 장비용 자동화 설계
- SOP 작성
- 개발장비 조립, 테스트  ◈ Requirement capability- 4년제 대졸 이상자- 경력: 자동화 장비 설계 경력 5년 -15년차 이내자- 전공: 기계공학, 기계설계, 로봇공학, 기계공학, 메카트로닉스 등 관련 전공자* 필요지식/기술
- 기계요소 설계
- 기계공작, 정역학, 동역학
- 메카트로닉스 (자동제어)
- 3D 설게, 2D(AutoCAD) 설계 - 이직이 잦지 않는 자[우대사항]- 기계설계, 전산설계 자격증 보유자
- 영어 능통자
- Inventor 3D 능통자 - 최종 합격 후 빠른 시일 내 출근 가능자  [근무지]경기도 성남시 중원구 소재  ◈제시 연봉 : 경력에 따라 협의(5,000만원 -7,500만원 선) ◈ 제출서류  - <이력서 및 자기소개서, 경력기술서> /(국문) 1 파일로 제출요망  - 포토폴리오(해당자에 한함)  - 이력서 제출시 최종연봉,희망연봉 필수 기재, 문서이름은 “지원분야-성명”으로 표기  - 경력기술서 작성시 보유기술 및 경험직무에 대해서 상세 기술 요망  ◈ 제출기한 및 근무가능일 : ASAP(채용시 마감) ◈ 접수방법 ; [담당자 : 임정우 본부장]- e-mail 접수 : hunter@peoplescout.co.kr******@*******.*** - 제출기한 : 선착순 E-mail 접수 분에 한합니다.- 전화문의 : ***-****-**** / ***-****-****- 합격통보 : 합격자에 한하여 개별 연락드리오니 양해바랍니다.






"
탑커리어인사이트,기술영업,,경력3~15년,로봇제어, 서울특별시 강남구 역삼로17길 9 (역삼동) 배영빌딩 202호 ,"


대기업 로봇자동화 기술영업 - 인크루트 채용













채용기업 : 대기업계열사/코스피상장 / 매출액 3조 946억 9,864만채용포지션 : 로봇자동화 기술영업채용직급 : 사규에 따름연봉 : 협의 조정근무지 : 서울시[담당업무]- System Integration 설계 검토- 국,내외 용접 로봇 패키지 기술 영업[지원자격]- 대졸이상 ( 전기관련학과 또는 제어관련학과 우대 )- 경력 3년 ~ 10년- 로봇 자동화 설계 경력자도 지원 가능- 로봇 연계 VISION, AGV 설계, 설치, 시운전 경력자도 지원 가능[전형방법]- 서류전형 : (합격자에 한하여 개별 통보)- 면접전형[제출서류 및 방법]- MS WORD로 작성된 경력중심의 국문이력서(사람인 등 잡사이트 이력서 제외)- richard@topcareerinsight.co.kr******@*******.***로 제출바랍니다./탑커리어인사이트 김태경 / ***-****-****- 이력서는 지원분야_이름으로 작성 (예: 기술영업_홍길동)






"
(주)덴티움,광고·CG·시각디자인,,경력3년↑,로봇제어," 경기도 수원시 영통구 창룡대로256번길 76 (이의동,덴티움 지식산업센터) ","


[ICT] 다관절 로봇 제어 SW개발 부문 - 인크루트 채용




















"
(주)조인스에이치알코리아,기계·금속·재료,,경력6년↑,로봇제어, 서울특별시 서초구 서운로 160 ,"


로봇 액츄에이터 설계 담당자 채용(과/차장급) - 인크루트 채용

















우리 회사를 한 줄로 표현해주세요
(주)조인스에이치알코리아
로봇 액츄에이터 설계 담당자 채용(과/차장급)
우리 회사에 대해 4줄 이내로 소개해주세요




모집부문 및 자격요건









모집부문
담당업무
자격요건
인원




로봇 액츄에이터 설계 담당자 채용

[담당업무]1. 로봇 액츄에이터 설계   (액츄에이터 구성부품: 프레임리스모터+자기식 엔코더+입력축+하모닉감속기+브레이크+출력엔코더+서보드라이버)2. 로봇 및 액츄에이터 해석    - 액츄에이터 기구부 단품(플랜지, 하우싱, 커버, 브라켓 및 기타)의 강성 및 강도   - 액츄에이터 적용한 로봇 가반하중 적합성 검토를 위한 해석     (운전패턴에 따른 축별 및 최대부하율 확인)[근무부서 및 직급/직책]직급/직책: 과장, 차장


[자격요건]경력사항: 경력(6년 이상 )학력사항: 학력무관직무기술: 모터, 모터제어, 열해석1. 로봇 액츄에이터 관련 설계 6~12년 이상 경력자(협동로봇, 산업용 수직다관절로봇, 휴머노이드, 수술용, 엑소스켈레톤)2. Solidworks 설계 가능자3. Solidworks 설계 가능자(Simulation, Motion)4. MS OFFICE 사용 가능5. 서울지역 근무 가능6. 해외여행/파견 및 건강상의 결격사유가 없는 자

0 명





근무조건
고용형태: 정규직급여조건: 연봉 협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
채용시
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서, 자사양식


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
(주)고영테크놀러지,"전자·반도체, 기계·금속·재료, 건축·공간·CAD·CAM디자인",,신입/경력(연차무관),로봇제어,서울 금천구 가산동   한라시그마밸리 15층    ,"


전장설계 - 인크루트 채용













""SMT 공정용 검사장비 세계 1위 기업"" 고영테크놀러지는 세계 수준의 Mechatronics 기술을 바탕으로 2002년 4월 설립하여현재 Machine Vision 기술, 지능형 시스템 Software 기술, 정밀 기계 설계 기술을조화롭게 구사하는 기업으로 세계적인 위치에 올라 있습니다.SMT 검사기 시장에서의 사업을 기반으로 반도체 검사장비, 의료로봇, 정밀기계가공 검사장비 등 다양한 영역에서 새로운 사업을 수행하고 있습니다.고영테크놀러지와 함께 실패를 두려워하지 않고 끊임없이 도전하고 성장할혁신적이고(INNOVATION), 함께 일하며(TEAMWORK), 전문성(PROFESSIONALISM)을갖춘 인재분들의 많은 지원 부탁드리겠습니다.[주요업무]- 로봇, 검사장비, 의료로봇 제어시스템 전장설계- 제어기 구조 및 서보 시스템 전장설계- 인증 기반 전장설계 (CE, UL,SEMI 등) [자격요건]-    AutoCAD Electrical , 전장설계 CAD 활용 가능자 [우대사항]-    CE,UL등 안전인증 설계 경험, 양산 장비 설계 경험 [전형절차]- 서류전형 >>> 온라인 인적성 검사 >>> 직무면접(PT면접) >>> 최종면접 >>> 채용검진 >>> 입사[입사지원서]* 자유 양식 이력서 제출 가능 (면접 전형 전 자사양식 이력서 작성 필수)* 모든 파일은 PDF 형식으로 변환 후 제출*입사지원서 양식 내려받기






"
(주)메디픽셀,"응용프로그래머, 빅데이터·AI(인공지능)",,경력5년↑,로봇제어," 서울특별시 마포구 양화로 61 7층 (서교동,두암빌딩) ","


[메디픽셀] 딥러닝 & SW 개발 엔지니어 채용 - 인크루트 채용
















(주)메디픽셀
[메디픽셀] 딥러닝 & SW 개발 엔지니어 채용



모집부문 및 자격요건






담당업무
자격요건
인원





[담당업무]ㆍ 의료 도메인 관련 제어 알고리즘 개발ㆍ 의료 영상 (Angiograthy) Al 딥러닝 알고리즘 개발ㆍ 업무 관련 논문 이해 및 구현ㆍ 프로젝트 기획 및 관리


[자격요건]ㆍ 경력 5년 이상ㆍ Deep learning framework에 대한 이해가 있으신 분ㆍ C++, python 개발 경험이 있으신 분[우대사항]ㆍ관련 학과 석사 이상 학위(컴퓨터공학, 로봇제어)ㆍDeep learning framework에 대한 Contributor 수준의 구현ㆍ의료영상분야 개발 경력이 있으신 분ㆍROS 관련 개발 경험이 있으신 분

0 명





근무조건
고용형태: 정규직(수습기간3개월)근무부서: 제어팀급여조건: 연봉 협의 후 결정메디픽셀 채용에 관해 더 자세히 알고싶으신 분들은 메디픽셀 채용페이지를 참조하세요.


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서포트폴리오


접수방법
채용시
접수방법: 인크루트 채용시스템, 자사 홈페이지접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.














"
(주)마스,전자·반도체,,경력4년↑,로봇제어, 경기도 화성시 동탄산단2길 13 (방교동) 1층 ,"


기구설계, 자동제어 외 경력 정규직 채용 - 인크루트 채용
















(주)마스
기구설계, 자동제어 외 경력 정규직 채용




모집부문 및 자격요건






담당업무
자격요건
인원







[자격요건]경력사항: 경력(4년 이상 )학력사항: 학력무관직무기술: 로봇

1 명





근무조건
고용형태: 정규직급여조건: 연봉 회사내규


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
상시채용
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.











"
(주)커리어앤스카우트,응용프로그래머,,경력5년↑,로봇제어, 서울 영등포구 여의도동 35-4 한국화재보험협회빌딩 15층 ,"


AI머신비전 SW개발기업  [물류 플랫폼 백엔 드 개발] 경력직 채용 - 인크루트 채용













[담당업무]- 장비/로봇 제어 전용 AI 물류 플랫폼 backend 설계 및 개발- 기존 개발 프로그램 유지 관리 지원[자격요건]- 학력 : 전문학사 이상- 경력 : 5년 이상- 경험1) C#, Typescript, REST API개발 경험2) Docker, Kubernates 핸들링 경험[우대사항]- 영상처리 관련 개발 경험자[전형절차]서류전형 - 컨설턴트 인터뷰 - 기업 면접[제출서류]국문이력서(경력기술서 포함)[직무분야]백엔드 개발[경력년수]5년이상[기본연봉]최종 연봉에서 상향 조정[참고사항]수평문화 구조로 ""님""호칭[지원방법]> 지원방법 : e-메일 접수(jm@cnscout.co.kr******@*******.***) / 메일로 워드
파일 이력서 보내주셔야 누락없이 검토 가능합니다.> 기업 및 포지션 관련 궁금하신 점 있으시면, 메일 주시면 답변드리겠습니다> 커리어앤스카우트는 국제 표준 기구에서
규정한 ISO 9001 품질경영 인증 헤드헌팅 전문기업입니다.> 커리어앤스카우트 헤드헌팅은 검증된 후보자를
추천하는 것으로 기업에서 인식하기에 공채 지원보다 유리합니다.> 지원 의사가 없더라도 최신 이력을 보내주시면
헤드헌팅 시스템 등록 후 추후 포지션 발생시 연락을 드리겠습니다.>기업의 경우 메일로 포지션 의뢰 및 계약
건 문의 주시면 회신 드리겠습니다 면접은 서류전형 합격자에 개별통지 합니다.국가보훈대상자와 신체장애자는 관련서류 제출시 관계법에 따라 우대함.모든 서류는 반드시 MS Word로 작성하기
바랍니다.제출하신 서류는 일체 반환하지 않습니다.입사지원서 내용에 허위사실이 판명될 경우 입사가 취소될 수 있습니다.
기타 문의사항은 E-mail로 문의바랍니다.






"
(주)한화,소프트웨어·하드웨어,,경력(연차무관),로봇제어, 서울특별시 중구 청계천로 86 (장교동) ,"


[한화로보틱스] 협동로봇 제어 S/W 개발자 경력사원 모집 - 인크루트 채용




















"
(주)한화,소프트웨어·하드웨어,,경력3년↑,로봇제어, 서울특별시 중구 청계천로 86 (장교동) ,"


[한화로보틱스] 협동로봇 제어 HW 개발자 경력사원 모집 - 인크루트 채용




















"
(주)티라로보틱스,"세무·회계, 재무·자금·IR",,경력9~16년,로봇제어," 경기도 성남시 중원구 둔촌대로 388 304호(상대원동,크란츠 테크노) ","


회계담당자 경력직 채용 - 인크루트 채용













우리 회사를 한 줄로 표현해주세요(주)티라로보틱스회계담당자 경력직 채용㈜티라로보틱스는 코스닥 상장사인 ㈜티라유텍의 자회사로서 22년 1월에 설립된 46명 규모의 중소기업 으로 경기도 성남시 중원구 둔촌대로 388(상대원동, 크란츠테크노)에 위치하고 있습니다. 티라로보틱스는 자율주행로봇 전문기업으로 AMR(Autonomous Mobile Robot, 자율주행로봇)의 모든 과정(제어S/W, 관제S/W, 기구 설계, 전장 설계, 로봇운영시스템 등 )을 100% 자체 기술로 개발하여 직접 생산하고 있고, 자율주행 로봇에 관한 국내 최고의 제품을 보유하고 있으며, 국내뿐만 아니라 미국 및 유럽 진출을 위해 준비 중에 있습니다.  

모집부문 및 자격요건









담당업무
자격요건
인원





[담당업무]ㆍ월/분기/반기 결산 및 보고ㆍ 투자사 보고자료 작성ㆍ제조원가  계산ㆍ분기/년 forecasting (자금계획 및  추정손익)ㆍ내부회계관리제도 구축 및 운용[근무부서 및 직급/직책]근무부서: 경영지원실직급/직책: 과장, 팀장, 파트장


[자격요건]경력사항: 경력(9년 이상 16년 이하)학력사항: 학력무관직무기술: 제조원가, IPO, 결산, 법인결산, 원가, 자금계획, 내부회계관리제도기타: 전자/장비/기계 분야 제조업체  근무(제조원가)[우대사항]전공계열: 상경계열

0 명





근무조건
고용형태: 정규직근무부서: 경영지원실급여조건:  협의 후 결정


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종심사 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
채용시
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.


00










"
(주)김포산업,"전자·반도체, 시스템프로그래머, 전기·전자·통신기능, 건축·공간·CAD·CAM디자인",,경력5년↑,로봇제어, 경기도 김포시 통진읍 김포대로2344번길 55 (통진읍) ,"


자동화 설비 전기, 계전, CAD 및 PLC 프로그램 가능자 채용 - 인크루트 채용
















(주)김포산업
자동화 설비 전기, 계전, CAD 및 PLC 프로그램 가능자 채용 



모집부문 및 자격요건






담당업무
자격요건
인원




                             자동화제어

[자격요건]1. 경력 5년이상 우대2. 학력무관3. PLC 판넬 CAD 설계, 제작, 설치, 시운전 가능한 자 **PLC(LS, 미쓰비시) 가능자, Touch (이지뷰, LS, 미쓰비시) 가능자4. 산업용 자동화 로봇(Robot / ABB, FUJI, OKURA) 티칭 가능한 자5. 자동포장기 관련 유경함자 [우대사항]1. 전기공학 (전기계열) 전공자2. 즉시출근가능자3. 차량소지자, 운전면허증 보유자4. 문서작성 (워드프로세스 활용) 가능자5. CAD 능숙자

(경력, 과장급)2 명





근무조건
고용형태: 정규직급여조건: 연봉 4,000만원 이상 - 협의 후 결정근무지역: 경기도 김포시 통진읍 김포대로2344번길 55근무시간: 주 5일근무 / 08:00~17:00 / 상황에 따라 야근, 주말근무, 출장근무 있음


전형단계 및 제출서류
전형단계: 서류전형 > 면접진행 > 최종합격추가 제출서류이력서, 자기소개서


접수방법
채용시 마감
접수방법: 인크루트 채용시스템접수양식: 인크루트 이력서


기타 유의사항

입사지원서 및 제출서류에 허위사실이 있을 경우 채용이 취소될 수 있습니다.











"
(사)한국산업기술협회,"생산관리, 설치·수리·정비·A/S , 판매, 기술영업, 전기·전자·통신기능, ERP·시스템분석·설계, 시스템프로그래머, 전자·반도체, 네트워크·서버·보안, 응용프로그래머, 빅데이터·AI(인공지능), 건축·인테리어·설계, 기계·금속·재료, 게임(Game), 통신·모바일",,신입/경력(연차무관),로봇제어," 서울특별시 금천구 범안로 1130 (가산동,디지털엠파이어빌딩) 14층    ","


[국비지원 취업연계]  PLC 현장기기제어 전문가 과정 - 인크루트 채용













 

[국비무료] 스마트 자동화 PLC 현장기기 제어 전문가 과정
한국산업기술협회는 산업기술분야의 역량강화 및 글로벌화를 위해 고용노동부의 지원을 받아 매년 우수 인력 양성 및 기업맞춤형 전문인력 100명 이상 배출을 목표로 하고 있습니다. 8주간의 체계적인 교육과 맞춤형 실습 과정을 통해 PLC 전문가로 거듭나고, 취업 지원 혜택도 받으시길 바랍니다.



 

교육과정







스마트 자동화 PLC 현장기기 제어 전문가 과정



PLC 제어 실무 

시퀀스 제어 이론 및 실무
XGK PLC / MELSEC PLC 제어 실무

PLC 모니터링 실무

HMI(터치스크린) / SCADA실무
PLC+HMI+SCADA 연동 실무

PLC 통신 제어 실무

필드버스 / 이더넷 통신 제어 실무
IoT 통신 제어 실무

PLC 현장기기 제어 실무

서보모터/인버터/공압 연동 제어 실무
스마트 공장 센서 데이터 제어 실무
스마트 공장 현장기기 트러블(고장) 원인과 대책 실무

PLC 종합과제 실습

동력+제어회로 설계
판넬+전동기 제작 실습

취업 전략 특강

합격하는 면접 노하우
채용박람회 진행예정





본 과정은 고용지원센터에서 발급해주는 직업훈련카드가 필요 없는 100% 무료 국비지원 과정입니다.




 

교육특징



현장 수요조사를 통한 맞춤형 교육
관련분야의 20년 이상 경력을 지닌 전문 강사진이 투입 실무 중심의 수업 진행
PLC에 대한 이론부터 실무까지 다룰 뿐만 아니라 종합프로젝트 실습을 통해 업무 적용이 가능한 기술 역량을 갖춘 인재 육성과 취업 지원
스마트자동화 구축운영 인력양성에 핵심 요소인 PLC, HMI, SCADA 등 현장 기기에 대한 종합적인 연동 제어 실무 교육
이력서 및 자소서 첨삭, 모의 면접 등 취업 관련 교육




 

교육일정







교육과정명
교육기간
교육시간
장소


PLC 현장기기 제어 전문가 과정
2024.1.30.~2024.3.29
총 320시간
서울 금천구




상기 교육일정에는 변동사항이 있을 수 있음을 알려드립니다.




 

지원자격


고용보험미가입자
전공자 우대



 

수강생 혜택





전액 국비지원
★ 교육비 전액 지원  ★

수료 시 점심식대(1일 5,000원) 및 훈련수당 (40만원) 지급
교재비, 재료비 100% 무료
KITA 취업박람회 참가 자격 부여




특별한 강의 혜택
PLC분야 기업체 경력 및 교육경력 20년 이상 우수한 강사진 강의 지원
교육 수료 후 수료증 발급
자격증 시험 응시 및 취득 가능
스마트 직업훈련 플랫폼 자격 및 OA 관련 온라인 강좌 무료 수강(*교육생 택 1개 과정)




과정 수료 인원 취업 연계 혜택

수료생 대상 채용박람회 개최(취업제의 90% 이상)
22~23년 동일과정 취업률 83%
1:1 취업 멘토 배정 및 취업 컨설팅 제공







 

교육 후기


 



 

신청 방법



아래 신청하기 버튼 클릭 후 구글폼 교육 신청서로 이동
신청 후 추가 안내 사항은 담당자가 개별 연락드릴 예정입니다.




 

KITA 오시는길






 

KITA 소개






 

KITA 보유장비


 ★ 신청/문의

김병주 대리 TEL : ***-****-****, FAX : ***-****-****
Email : haokan202@kitanet.or.kr******@*******.***, Homepage : http://hrd.kitanet.or.kr



신청하기




 












"
(주)고영테크놀러지,"소프트웨어·하드웨어, 응용프로그래머",,경력5~10년,로봇제어,서울 금천구 가산동   한라시그마밸리 15층    ,"


공용화 SW/모듈 개발 - 인크루트 채용













""SMT 공정용 검사장비 세계 1위 기업"" 고영테크놀러지는 세계 수준의 Mechatronics 기술을 바탕으로 2002년 4월 설립하여현재 Machine Vision 기술, 지능형 시스템 Software 기술, 정밀 기계 설계 기술을조화롭게 구사하는 기업으로 세계적인 위치에 올라 있습니다.SMT 검사기 시장에서의 사업을 기반으로 반도체 검사장비, 의료로봇, 정밀기계가공 검사장비 등 다양한 영역에서 새로운 사업을 수행하고 있습니다.고영테크놀러지와 함께 실패를 두려워하지 않고 끊임없이 도전하고 성장할혁신적이고(INNOVATION), 함께 일하며(TEAMWORK), 전문성(PROFESSIONALISM)을갖춘 인재분들의 많은 지원 부탁드리겠습니다.[포지션] 공용화 SW/모듈 개발[직급] 대리~과장[주요업무]- 공통 이미지 처리/제어 SW 설계 및 개발- 공통 Network/DB 등 Data Interface 모듈의 설계 및 개발- 기존 코드 분석 및 성능 개선점 도출[자격요건]- C++ 또는 .NET 개발 경력 5년~10년 - 능숙한 소프트웨어 개발 문서 작성 능력(*Senior 필수)- 새로운 기술 동향 분석과 적용하고 전파하는 것에 대해 거부감이 없으신 분 - Open Mind에 직장 동료들과 즐겁고 원활하게 커뮤니케이션 가능하신 분- Jira/confluence/bamboo/Git 등 형상 관리 및 개발 프로세스 툴 사용에 어려움이 없는 분[우대사항]- Windows debugging 및 dump 분석 지식- Software 개발 관련 전공자- 분산 병렬 처리/고성능 data 처리 개발 환경 지식- SMT 및 반도체 공정에 대한 배경 지식을 가지신 분- 확장 가능한 구조 설계 기술 보유자[전형절차]- 서류전형 >>> 온라인 인적성 검사 >>> 직무면접(PT면접) >>> Skill Test >>>최종면접 >>> 채용검진 >>> 입사[입사지원서]* 자유 양식 이력서 제출 가능 (면접 전형 전 자사양식 이력서 작성 필수)* 모든 파일은 PDF 형식으로 변환 후 제출*입사지원서 양식 내려받기






"
(주)키친어스,"기계·금속·재료, 섬유·화학, 전자·반도체",,신입/경력(연차무관),로봇제어,,
